智能--它是什么？	Intelligence -- what is it?
亲爱的兄弟姐妹们，当马拉拉出生时， 在那一次， 相信我， 坦白说，我不喜欢新生儿 但当我看到她的眼睛时， 相信我， 我觉得分外荣幸。	Dear brothers and sisters, when Malala was born, and for the first time, believe me, I don't like newborn children, to be honest, but when I went and I looked into her eyes, believe me, I got extremely honored.
在她出生很久之前， 我就开始想给她取什么名字， 我当时对在阿富汗战争中 一位为自由而战的传奇女性着迷，	And long before she was born, I thought about her name, and I was fascinated with a heroic legendary freedom fighter in Afghanistan.
她的名字是迈旺得的马拉拉， 所以我给自己的女儿也取名马拉拉。	Her name was Malalai of Maiwand, and I named my daughter after her.
在马拉拉生日后的几天， 我的女儿出生了， 我的堂兄过来了 -这完全是意料之外的- 他来我家， 并带来了族谱， 那是属于优素福家族的族谱， 当我看着那份族谱的时候， 它介绍了三百年前我们的祖先，	A few days after Malala was born, my daughter was born, my cousin came -- and it was a coincidence -- he came to my home and he brought a family tree, a family tree of the Yousafzai family, and when I looked at the family tree, it traced back to 300 years of our ancestors.
但当我细看的时候，名单里全是男性， 随后我拿起了笔， 在我名字的下方划了一条线， 然后写上,"马拉拉"。	But when I looked, all were men, and I picked my pen, drew a line from my name, and wrote, "Malala."
她渐渐长大， 当她四岁半的时候， 我送她去我的学校，	And when she grow old, when she was four and a half years old, I admitted her in my school.
你或许会问，为什么我要提到 送女儿去学校？	You will be asking, then, why should I mention about the admission of a girl in a school?
我必须说说这件事。	Yes, I must mention it.
在加拿大，美国 等发展中国家，这可能是理所当然的， 但是在贫穷的国家， 在重男轻女或部落制的社会中， 这对女孩来说无比重要。	It may be taken for granted in Canada, in America, in many developed countries, but in poor countries, in patriarchal societies, in tribal societies, it's a big event for the life of girl.
将她送进学校 意味着对她个体和名字的认可，	Enrollment in a school means recognition of her identity and her name.
进入学校 意味着她进入了充满梦想和抱负的 世界 她可以为自己的未来 探索个人的潜能。	Admission in a school means that she has entered the world of dreams and aspirations where she can explore her potentials for her future life.
我有五个姐妹， 她们之中没有一个人上过学校， 接下来的故事也许会让你震惊， 两周前， 当我在填加拿大签证表格的时候， 我发现自己需要填写家庭成员， 我那时居然想不起 我一些姐妹的姓氏。	I have five sisters, and none of them could go to school, and you will be astonished, two weeks before, when I was filling out the Canadian visa form, and I was filling out the family part of the form, I could not recall the surnames of some of my sisters.
原因就是， 我从来没有见过 自己的姐妹在任何文件中写过自己的名字。	And the reason was that I have never, never seen the names of my sisters written on any document.
我父亲不能给予 自己女儿的东西， 我想我一定要改变这个现象。	What my father could not give to my sisters and to his daughters, I thought I must change it.
我经常表扬我女儿， 赞扬她聪明，机智，	I used to appreciate the intelligence and the brilliance of my daughter.
当有朋友来的时候， 我鼓励她和我坐在一起。	I encouraged her to sit with me when my friends used to come.
我鼓励她和我一起参加不同的会议。	I encouraged her to go with me to different meetings.
所有这些好的价值 我都试图灌输到她的性格中。	And all these good values, I tried to inculcate in her personality.
但不仅仅是她，不仅仅是马拉拉，	And this was not only she, only Malala.
我把这些好的价值 带去学校，带给男同学也带给女同学。	I imparted all these good values to my school, girl students and boy students as well.
我通过教育带来解放，	I used education for emancipation.
我教育自己的女儿 我教育自己的女学生， 要学会对"服从"说不	I taught my girls, I taught my girl students, to unlearn the lesson of obedience.
我教育我的男学生， 要忘记所谓的"荣耀"。	I taught my boy students to unlearn the lesson of so-called pseudo-honor.
亲爱的兄弟姐妹们， 我们为女性争取更多的权利， 我们也在努力在社会中 为女性争取更多的空间和地位，	Dear brothers and sisters, we were striving for more rights for women, and we were struggling to have more, more and more space for the women in society.
但是我们也遇到了新的现象。	But we came across a new phenomenon.
这个现象给人权带来巨大的打击， 尤其是对女性的权利。	It was lethal to human rights and particularly to women's rights.
这个现象叫做塔利班化。	It was called Talibanization.
这种现象剥夺了 女性的参与权， 无论是在政治活动，经济活动，还是社会活动之中。	It means a complete negation of women's participation in all political, economical and social activities.
上百所学校被关闭。	Hundreds of schools were lost.
女孩被禁止上学。	Girls were prohibited from going to school.
妇女被迫带上面纱， 而且她们被禁止去集市。	Women were forced to wear veils and they were stopped from going to the markets.
音乐家被静止弹奏音乐， 女孩被鞭打， 歌手被刺杀。	Musicians were silenced, girls were flogged and singers were killed.
百万人受苦， 但只有极少数人敢站出来说， 最恐怖的事情是， 你的周围充满了 经常进行杀戮和鞭打的人， 但你仍要为自己的权利发出呐喊。	Millions were suffering, but few spoke, and it was the most scary thing when you have all around such people who kill and who flog, and you speak for your rights.
这真的是最恐怖的事情。	It's really the most scary thing.
在她十岁的时候， 马拉拉站起身， 为自己的教育权利呐喊。	At the age of 10, Malala stood, and she stood for the right of education.
她把自己的一篇日记作为BBC的博客， 她自愿参加 《纽约时代》一些纪录片的制作， 她尽力登上每一个展台去发出自己的声音。	She wrote a diary for the BBC blog, she volunteered herself for the New York Times documentaries, and she spoke from every platform she could.
她的声音是世界上最强有力的声音。	And her voice was the most powerful voice.
她的声音逐渐传播到世界的每一个角落。	It spread like a crescendo all around the world.
这就是为什么塔利班 不能容忍她的宣传活动， 在2012年10月9日， 她头部被近距离射击。	And that was the reason the Taliban could not tolerate her campaign, and on October 9 2012, she was shot in the head at point blank range.
那天对我们全家人尤其对我自己来说，简直是世界末日。	It was a doomsday for my family and for me.
整个世界变成了一个大黑洞。	The world turned into a big black hole.
我的女儿 处于生命垂危状态， 我低声对妻子说， "对于发生在我们女儿身上的事情， 我是不是有责任？"	While my daughter was on the verge of life and death, I whispered into the ears of my wife, "Should I be blamed for what happened to my daughter and your daughter?"
她立刻打断我： "请别责备自己。	And she abruptly told me, "Please don't blame yourself.
你之前所做的没有错。	You stood for the right cause.
你将自己的生命至于危险的环境， 是为了真理， 为了和平， 也为了教育， 你的女儿受到了启发， 并愿意和你并肩作战。	You put your life at stake for the cause of truth, for the cause of peace, and for the cause of education, and your daughter in inspired from you and she joined you.
你们两个人都在正确的道路上， 真主会保佑她。"	You both were on the right path and God will protect her."
这一番话对我意义非常大， 此后我也没有再问过这样的问题。	These few words meant a lot to me, and I didn't ask this question again.
当马拉拉在医院的时候， 她忍受着巨大的痛苦， 她头痛极为严重， 因为她的面部神经被切断了， 我妻子的脸 成天被阴云笼罩着。	When Malala was in the hospital, and she was going through the severe pains and she had had severe headaches because her facial nerve was cut down, I used to see a dark shadow spreading on the face of my wife.
但我的女儿从来没有抱怨。	But my daughter never complained.
她会告诉我们， "微笑奇怪，面部僵硬， 这些都没有关系。	She used to tell us, "I'm fine with my crooked smile and with my numbness in my face.
我会好起来的，别担心。"	I'll be okay. Please don't worry."
她是我们的安慰， 给我们带来慰藉。	She was a solace for us, and she consoled us.
亲爱的兄弟姐妹们， 从她身上，我学到了 在困境中如何变得坚强， 我也很乐意和你们分享， 尽管她如今是 儿童权利和妇女权利领域的重要人物， 她和其他16岁的女孩没有什么不同。	Dear brothers and sisters, we learned from her how to be resilient in the most difficult times, and I'm glad to share with you that despite being an icon for the rights of children and women, she is like any 16-year old girl.
当作业没有写完时，她会哭。	She cries when her homework is incomplete.
她也会和兄弟争吵， 我觉得这些其实都很正常。	She quarrels with her brothers, and I am very happy for that.
人们问我， 为什么我的启蒙 能让马拉拉如此大胆， 如此勇敢，有感召力并且镇定自若？	People ask me, what special is in my mentorship which has made Malala so bold and so courageous and so vocal and poised?
我告诉他们，不要问我做了什么。	I tell them, don't ask me what I did.
问我没有做什么。	Ask me what I did not do.
我所做的，只是没折断她的翅膀。	I did not clip her wings, and that's all.
谢谢。	Thank you very much.
这个世界造就了一个不真实的你， 但在内心深处，你知道自己是谁。 有个问题使你心神不安： "你是怎样变成那样的呢？"	The world makes you something that you're not, but you know inside what you are, and that question burns in your heart: How will you become that?
也许我是这个问题的一个特例， 但我并不孤单， 一点也不。	I may be somewhat unique in this, but I am not alone, not alone at all.
当我成为一名时装模特时， 我感觉我终于实现了 小时候一直向往的梦想。	So when I became a fashion model, I felt that I'd finally achieved the dream that I'd always wanted since I was a young child.
我外在的自我终于和我内心的真实， 我真实的自我，成为一致。	My outside self finally matched my inner truth, my inner self.
由于一些我之后将解释复杂的原因 当我看着张照片时， 那时我感觉，"吉娜你做到了， 你成功了， 你完成心愿了。"	For complicated reasons which I'll get to later, when I look at this picture, at that time I felt like, Geena, you've done it, you've made it, you have arrived.
但是，在之前的十月里， 我意识到这只是一个开始。	But this past October, I realized that I'm only just beginning.
我们大家都被家庭， 宗教， 社会， 历史， 甚至我们的生体所限制。	All of us are put in boxes by our family, by our religion, by our society, our moment in history, even our own bodies.
有些人有勇气去解放自我， 不接受因为皮肤颜色 或者大环境中的信仰 所导致的限制。	Some people have the courage to break free, not to accept the limitations imposed by the color of their skin or by the beliefs of those that surround them.
这些人对所谓的 "可以接受的标准 " 一直都是威胁。	Those people are always the threat to the status quo, to what is considered acceptable.
就我而言，在过去的九年里 我的一些邻居， 部分朋友和同事，甚至有些中介 都不知道我的历史。	In my case, for the last nine years, some of my neighbors, some of my friends, colleagues, even my agent, did not know about my history.
我记得在菲律宾，我五岁的时候 在房子周围走动的时候， 我总是会把这件短袖衫穿在头上。	I remember when I was five years old in the Philippines walking around our house, I would always wear this t-shirt on my head.
我妈妈便问我， "你为什么总是把那件短袖衫穿在头上？"	And my mom asked me, "How come you always wear that t-shirt on your head?"
我说："妈妈，这是我的头发，我是一个女孩。"	I said, "Mom, this is my hair. I'm a girl."
那时我就知道如何自我识别。	I knew then how to self-identify.
性别总是被认为是一个事实， 不可改变， 但是我们知道事实上性别是更加不定的， 复杂的，并且神秘的。	Gender has always been considered a fact, immutable, but we now know it's actually more fluid, complex and mysterious.
因为我的成功，我从前没有勇气 去分享我的故事， 不是因为我认为自己性别取向是错的， 而是因为畏惧世界会如何对待我们 这些打破常规的人。	Because of my success, I never had the courage to share my story, not because I thought what I am is wrong, but because of how the world treats those of us who wish to break free.
每一天， 我都感到非常庆幸，因为我是一个女人。	Every day, I am so grateful because I am a woman.
我有一个家庭 和能够接受我真正自我的父母。	I have a mom and dad and family who accepted me for who I am.
但很多人并不是那么幸运。	Many are not so fortunate.
在亚洲，我们有一个悠久的传统 去赞颂性别不定的神秘。	There's a long tradition in Asian culture that celebrates the fluid mystery of gender.
这是佛教中的观世音菩萨。	There is a Buddhist goddess of compassion.
这是印度教中的希吉拉女神。	There is a Hindu goddess, hijra goddess.
所以当我八岁那年， 我在菲律宾的一个嘉年华会 庆祝这些神秘宗教。	So when I was eight years old, I was at a fiesta in the Philippines celebrating these mysteries.
我在舞台前， 我记得，这个美丽的女人 迎面向我走来， 我记得，在那一刻我的内心被触动了： 那就是我想成为的那种女人。	I was in front of the stage, and I remember, out comes this beautiful woman right in front of me, and I remember that moment something hit me: That is the kind of woman I would like to be.
在我15岁时 我已男孩的身份 见到了这位叫做T.L女士。	So when I was 15 years old, still dressing as a boy, I met this woman named T.L.
她是变性选美大赛的经理。	She is a transgender beauty pageant manager.
那一晚她问我， "你为什么不参加变性选美大赛呢？"	That night she asked me, "How come you are not joining the beauty pageant?"
那一刻改变了我的一生。	That moment changed my life.
倾刻之间，我迈入了 选美大赛的世界中。	All of a sudden, I was introduced to the world of beauty pageants.
没有多少人敢说你的第一份工作 是变性选美大赛中的女王， 不管被人怎样想，我接受了。	Not a lot of people could say that your first job is a pageant queen for transgender women, but I'll take it.
在我十五到十七岁那些年间， 我加入了最有名望的选美大赛 坦白的说，在卡车背后举行的选美大赛， 或者有时在庄稼地旁的马路上， 在下雨的时候 举办者就得把选美大赛 移到别人的房子里。	So from 15 to 17 years old, I joined the most prestigious pageant to the pageant where it's at the back of the truck, literally, or sometimes it would be a pavement next to a rice field, and when it rains -- it rains a lot in the Philippines -- the organizers would have to move it inside someone's house.
我也感受到了陌生人的善意， 特别是当我们身处于 菲律宾偏远的省市中。	I also experienced the goodness of strangers, especially when we would travel in remote provinces in the Philippines.
但是最重要的是，我遇到了 那个社区中几个我最要好的朋友。	But most importantly, I met some of my best friends in that community.
在2001年， 我移居旧金山的妈妈打电话通知我 我的绿卡申请通过了， 我可以移居美国了。	In 2001, my mom, who had moved to San Francisco, called me and told me that my green card petition came through, that I could now move to the United States.
但我拒绝了。	I resisted it.
我告诉我妈，"妈妈，我现在很开心。	I told my mom, "Mom, I'm having fun.
我和身边的朋友在一起， 我爱旅行，我爱作为一名选美皇后。"	I'm here with my friends, I love traveling, being a beauty pageant queen."
两周之后她又打电话给我，她说， "你知道如果你移居到美国， 你个可以换一个名字，并且改变你的性别标识么？"	But then two weeks later she called me, she said, "Did you know that if you move to the United States you could change your name and gender marker?"
那是我最希望听到的了。	That was all I needed to hear.
我妈妈还告诉我在我名字的拼写中 放入两个字母"E"	My mom also told me to put two E's in the spelling of my name.
在泰国我十九岁那年接受变性手术时， 她也在我身边。	She also came with me when I had my surgery in Thailand at 19 years old.
这真是很有趣，在泰国最乡村的地方， 他们却可以做最先进， 安全，并且成熟的变性手术。	It's interesting, in some of the most rural cities in Thailand, they perform some of the most prestigious, safe and sophisticated surgery.
在那时，美国需要 你在换名和改变性别标识之前 现接受变性手术。	At that time in the United States, you needed to have surgery before you could change your name and gender marker.
在2001年，我移居到旧金山， 我记得，当我看着 有着我名字吉娜 和性别标识为女的驾照时，	So in 2001, I moved to San Francisco, and I remember looking at my California driver's license with the name Geena and gender marker F.
我深深地被触动了、	That was a powerful moment.
对有些人来说， 他们的驾照只是一个身份证， 或者获取酒的凭证， 但对我来说，那个驾照是使我可以生活， 并感到有尊严的许可证。	For some people, their I.D. is their license to drive or even to get a drink, but for me, that was my license to live, to feel dignified.
我感到我可以征服我的梦想了， 可以移居到纽约并成为一名模特。	I felt that I could conquer my dream and move to New York and be a model.
有很多人不像我如此幸运。	Many are not so fortunate.
我想到这个叫做阿亚拉·莱特丝的女人。	I think of this woman named Islan Nettles.
她来自纽约的年轻的女人， 她勇敢的围着她的信仰活着， 但是人们的憎恶结束了她的生命。	She's from New York, she's a young woman who was courageously living her truth, but hatred ended her life.
在我群体的大多数中， 这就是我们真实的生活。	For most of my community, this is the reality in which we live.
我们的自杀率是 一般人群自杀率的9倍。	Our suicide rate is nine times higher than that of the general population.
每年11月20日， 我们有一个 变性纪念日的守夜。	Every November 20, we have a global vigil for Transgender Day of Remembrance.
我站在这里 因为这是一段很长的人们与 不正义搏斗的历史。	I'm here at this stage because it's a long history of people who fought and stood up for injustice.
她们是玛莎P.约翰逊和西尔维亚·里维拉。	This is Marsha P. Johnson and Sylvia Rivera.
今天，这个特别时刻， 是我的真情表露。	Today, this very moment, is my real coming out.
我不能仅仅 为了我自己信仰而活着。	I could no longer live my truth for and by myself.
我想尽力去帮助别人， 帮助他们在没有羞耻和恐惧的情况下以真正的自我生活。	I want to do my best to help others live their truth without shame and terror.
我站在这里，坦诚相待， 为了有一天，我们将不再需要 11月20日的守夜。	I am here, exposed, so that one day there will never be a need for a November 20 vigil.
我最深处的真理允许我接受我自己。	My deepest truth allowed me to accept who I am.
你们也会么？	Will you?
非常感谢。	Thank you very much.
我疑惑 特别是对父母 对朋友 对家庭怎或是对任何人， 你会怎样去向他们解释， 并说服他们 去关心那些痛苦挣扎于 性别的人 同时成为 有好并关爱的 家庭成员？	I'm wondering what you would say, especially to parents, but in a more broad way, to friends, to family, to anyone who finds themselves encountering a child or a person who is struggling with and uncomfortable with a gender that's being assigned them, what might you say to the family members of that person to help them become good and caring and kind family members to them?
吉娜·萝杰拉：可以。我个人真的非常幸运。	Geena Rocero: Sure. Well, first, really, I'm so blessed.
有时有用，有时并不奏效。 性别性别身份 是我们存在的核心，对吧?	And sometimes it works, sometimes it doesn't, so — But it's just, gender identity is in the core of our being, right?
我们在出生时就有个性别， 而我想做的就是 去讨论 当先天性别分配有问题时， 应该有空间， 有空间让人们去自我鉴定性别， 那是一个我们应该与 父母，同事讨论的话题。	I mean, we're all assigned gender at birth, so what I'm trying to do is to have this conversation that sometimes that gender assignment doesn't match, and there should be a space that would allow people to self-identify, and that's a conversation that we should have with parents, with colleagues.
变性的运动 和男同性恋运动是怎样开始的相比 还在起步阶段。	The transgender movement, it's at the very beginning, to compare to how the gay movement started.
还有很多需要做的事情。	There's still a lot of work that needs to be done.
人们应该去理解。	There should be an understanding.
人们应该给予好奇 与讨论的空间， 我希望你们都可以成我的盟友。	There should be a space of curiosity and asking questions, and I hope all of you guys will be my allies.
谢谢！说的太好了。 谢谢	Thank you. That was so lovely. Thank you.
我最近刚退休， 离开了加利福尼亚公路巡警局， 我工作了23年的地方。	I recently retired from the California Highway Patrol after 23 years of service.
这23年里的大多数时间， 我都是在马林县的南部巡逻， 我都是在马林县的南部巡逻， 其中包括金门大桥，	The majority of those 23 years was spent patrolling the southern end of Marin County, which includes the Golden Gate Bridge.
这座桥是一个标志性建筑， 世界闻名， 因为从桥上可以观赏旧金山与 太平洋的美景，还有它予人灵感的建筑风格。	The bridge is an iconic structure, known worldwide for its beautiful views of San Francisco, the Pacific Ocean, and its inspiring architecture.
不幸的是，这座桥也吸引了自杀者， 成为了全球自杀事件最多的地点之一。	Unfortunately, it is also a magnet for suicide, being one of the most utilized sites in the world.
金门大桥开通于1937年，	The Golden Gate Bridge opened in 1937.
约瑟夫·施特劳斯是负责建造这座桥的总工程师， 我引用他一句话， "这座桥实际上有防自杀设计，	Joseph Strauss, chief engineer in charge of building the bridge, was quoted as saying, "The bridge is practically suicide-proof.
在这座桥上自杀 既难以成功也不太可能发生。"	Suicide from the bridge is neither practical nor probable."
但自从这座桥开放后， 超过1,600 人从桥上 纵身投入了死亡。	But since its opening, over 1,600 people have leapt to their death from that bridge.
某些人相信 经过这两座塔间 会带你去另一个世界—— 这座桥已经被浪漫成这样了—— 就是说从桥上坠落 会让你免除所有的烦恼与悲痛， 而下面的水 会净化你的灵魂。	Some believe that traveling between the two towers will lead you to another dimension -- this bridge has been romanticized as such — that the fall from that frees you from all your worries and grief, and the waters below will cleanse your soul.
但是，让我来告诉你 假如你尝试从金门大桥跳河自杀 结果实际上是怎样的。	But let me tell you what actually occurs when the bridge is used as a means of suicide.
这个冲击力能使骨头粉碎， 一些碎片之后会刺穿重要器官。	That impact shatters bones, some of which then puncture vital organs.
大多数人当场死亡。	Most die on impact.
如果没有死， 一般是在水中无助地扑腾， 然后淹死。	Those that don't generally flail in the water helplessly, and then drown.
我认为那些考虑 这种自杀方式的人 并未意识到他们的死法将会多么可怕。	I don't think that those who contemplate this method of suicide realize how grisly a death that they will face.
这是钢索。	This is the cord.
除了在两座塔周围， 桥边有32英寸的钢索， 平行于桥。	Except for around the two towers, there is 32 inches of steel paralleling the bridge.
大多数自杀者 在自杀前就站在这里。	This is where most folks stand before taking their lives.
根据我的经验，我可以告诉你， 一旦有人站在了钢索上， 在他人生最黑暗的时刻， 再让他回来是极为困难的。	I can tell you from experience that once the person is on that cord, and at their darkest time, it is very difficult to bring them back.
我在去年拍了这张照片， 当时这位年轻女子正和一位警官说话， 思索她的人生。	I took this photo last year as this young woman spoke to an officer contemplating her life.
我要很高兴地告诉大家， 那天我们很成功地 把她从护栏那边拉了回来。	I want to tell you very happily that we were successful that day in getting her back over the rail.
当我刚开始在这座桥上工作时， 我们没有受过正式的训练，	When I first began working on the bridge, we had no formal training.
我在这些呼叫中挣扎前进，	You struggled to funnel your way through these calls.
这是帮倒忙， 不仅是对那些想自杀的人， 对警察也是伤害。	This was not only a disservice to those contemplating suicide, but to the officers as well.
从那以后，我们走过了漫漫长路。	We've come a long, long way since then.
如今，经验丰富的老警官和心理学家们 对新警察进行训练。	Now, veteran officers and psychologists train new officers.
这位是杰森·加博。	This is Jason Garber.
我遇到杰森是在去年6月22日， 那时我接到一个电话， 说可能是一个人要自杀， 正坐在桥中段附近的钢索上。	I met Jason on July 22 of last year when I get received a call of a possible suicidal subject sitting on the cord near midspan.
我回应了，而当我到达时， 我看到了杰森， 他正和一位金门大桥的警官对话。	I responded, and when I arrived, I observed Jason speaking to a Golden Gate Bridge officer.
杰森年仅32岁， 是从新泽西州乘飞机来的。	Jason was just 32 years old and had flown out here from New Jersey.
在与杰森交谈了大约一个小时后， 他问我们是否知道潘多拉之盒的故事。	After about an hour of speaking with Jason, he asked us if we knew the story of Pandora's box.
想一想希腊神话， 宙斯创造了潘多拉， 然后将她降于人间，还有一个盒子， 并告诉她："永远不要打开这个盒子。"	Recalling your Greek mythology, Zeus created Pandora, and sent her down to Earth with a box, and told her, "Never, ever open that box."
终于有一天，好奇心战胜了潘多拉， 她真的打开了盒子。	Well one day, curiosity got the better of Pandora, and she did open the box.
飞出了瘟疫、悲伤， 以及对人类有害的种种坏事。	Out flew plagues, sorrows, and all sorts of evils against man.
盒内唯一的好东西只有希望。	The only good thing in the box was hope.
然后杰森问我们， "当你打开盒子， 却没有希望，会发生什么？"	Jason then asked us, "What happens when you open the box and hope isn't there?"
他停顿了一会儿， 向他的右方倒下， 不见了。	He paused a few moments, leaned to his right, and was gone.
这位来自新泽西的善良，聪明的年轻人 就这样自杀了。	This kind, intelligent young man from New Jersey had just committed suicide.
那天晚上我与杰森父母谈话， 我感觉，我和他们谈话时， 我的声音听起来好像是我状态不好， 因为就在后一天， 他们家的拉比打电话过来问我怎么样。	I spoke with Jason's parents that evening, and I suppose that, when I was speaking with them, that I didn't sound as if I was doing very well, because that very next day, their family rabbi called to check on me.
杰森的父母要他打的电话。	Jason's parents had asked him to do so.
自杀带来的间接伤害 影响着如此多的人。	The collateral damage of suicide affects so many people.
我向你们提出这些问题： 如果你们的家人、朋友或爱人要自杀， 你们会怎么办？	I pose these questions to you: What would you do if your family member, friend or loved one was suicidal?
你们会说什么？	What would you say?
你知道要说什么吗？	Would you know what to say?
据我的经验，要做的不仅仅是说， 而是听。	In my experience, it's not just the talking that you do, but the listening.
通过倾听去理解，	Listen to understand.
不要争辨、责备， 或是告诉那个人你知道他的感受， 因为你很可能并不知道。	Don't argue, blame, or tell the person you know how they feel, because you probably don't.
只要你在那里， 你可能就是他们所需的那个转折点。	By just being there, you may just be the turning point that they need.
如果你认为有人想自杀， 不要害怕面对他们，别怕提问题。	If you think someone is suicidal, don't be afraid to confront them and ask the question.
提问的方法有许多，可以是这样： "别人处在类似的境况下， 会考虑结束自己的生命； 你有这样想过吗？"	One way of asking them the question is like this: "Others in similar circumstances have thought about ending their life; have you had these thoughts?"
与这个人正面相对可能正好挽救了他的生命， 从而成为了他的转折点。	Confronting the person head-on may just save their life and be the turning point for them.
有一些其他的迹象值得留意： 绝望，认为一切都很可怕， 永远不会好转； 无助，认为没有任何办法 可以进行改变； 近来回避人际交往； 以及对生活失去兴趣。	Some other signs to look for: hopelessness, believing that things are terrible and never going to get better; helplessness, believing that there is nothing that you can do about it; recent social withdrawal; and a loss of interest in life.
就在几天前我有过一次谈话， 我收到一位女士的一封电子邮件， 我想给大家读读她的信。	I came up with this talk just a couple of days ago, and I received an email from a lady that I'd like to read you her letter.
她在今年1月19日失去了儿子， 然后她给我写了这封邮件， 就在几天前， 她给了我许可和祝福， 让我为大家读一下。	She lost her son on January 19 of this year, and she wrote this me this email just a couple of days ago, and it's with her permission and blessing that I read this to you.
"嗨，凯文。我猜想你在TED大会上了。	"Hi, Kevin. I imagine you're at the TED Conference.
能在那里想必是次难得的经历吧。	That must be quite the experience to be there.
我在想我应该这个周末去大桥上走一走。	I'm thinking I should go walk the bridge this weekend.
只是想给你留个言。	Just wanted to drop you a note.
希望你能把话带给许多人， 然后他们回家会把这事说给朋友们， 朋友们也会讲给他们的朋友，等等。	Hope you get the word out to many people and they go home talking about it to their friends who tell their friends, etc.
我还是感觉很木， 而更多的时候会真正意识到 麦克没有回家。	I'm still pretty numb, but noticing more moments of really realizing Mike isn't coming home.
麦克是从佩塔卢马开车到旧金山， 来和父亲看49人队的比赛， 就在1月19日。	Mike was driving from Petaluma to San Francisco to watch the 49ers game with his father on January 19.
他永远没有到达。	He never made it there.
我打电话给佩塔卢马警察局， 报告麦克在那天晚上失踪了。	I called Petaluma police and reported him missing that evening.
第二天早上， 两个警官来到了我家， 说麦克的车掉在了桥下。	The next morning, two officers came to my home and reported that Mike's car was down at the bridge.
一名目击者看到他从桥上冲下去， 就在前一天下午1点58分。	A witness had observed him jumping off the bridge at 1:58 p.m. the previous day.
我非常感谢你 一直在鼓励那些人， 他们可能只是一时软弱 而自己无法承受。	Thanks so much for standing up for those who may be only temporarily too weak to stand for themselves.
谁没有消沉过？ 即使是没有遭受过真正的精神疾病？	Who hasn't been low before without suffering from a true mental illness?
这么轻率地结束它实在是不应该。	It shouldn't be so easy to end it.
我为你和你的努力而祷告。	My prayers are with you for your fight.
金门大桥 本应是跨过 我们美丽的旧金山湾， 而非跨过一片墓地。	The GGB, Golden Gate Bridge, is supposed to be a passage across our beautiful bay, not a graveyard.
祝你这周好运。维姬。"	Good luck this week. Vicky."
我无法想象她这样的勇气， 就这样走过那座桥， 重走她儿子那天所走的路， 以及坚持下来的勇气。	I can't imagine the courage it takes for her to go down to that bridge and walk the path that her son took that day, and also the courage just to carry on.
我想为大家介绍一个人， 我认为他代表了希望和勇气。	I'd like to introduce you to a man I refer to as hope and courage.
在2005年3月11日， 我的无线电说桥上的人行道上有个人可能想自杀， 我回应了。 就在北塔附近，	On March 11 of 2005, I responded to a radio call of a possible suicidal subject on the bridge sidewalk near the north tower.
我骑着我的摩托车沿着人行道过去， 看到了这个人，凯文·贝希亚， 他正站在人行道上。	I rode my motorcycle down the sidewalk and observed this man, Kevin Berthia, standing on the sidewalk.
之后的一个半小时里， 我就在那里听凯文讲 他的抑郁和绝望。	For the next hour and a half, I listened as Kevin spoke about his depression and hopelessness.
那一天凯文自己决定， 从护栏那边回来， 再给生命一次机会。	Kevin decided on his own that day to come back over that rail and give life another chance.
当凯文回来时， 我祝贺了他。	When Kevin came back over, I congratulated him.
"这是一个新的开始，新的生命。"	"This is a new beginning, a new life."
但我又问他： "是什么让你回来， 并且再给希望和生命一次机会？"	But I asked him, "What was it that made you come back and give hope and life another chance?"
你们知道他告诉了我什么？	And you know what he told me?
他说："你听了。	He said, "You listened.
你让我说，你就是听。"	You let me speak, and you just listened."
这件事后不久， 我收到凯文母亲写来的一封信， 我带来了这封信， 我想给大家读一读。	Shortly after this incident, I received a letter from Kevin's mother, and I have that letter with me, and I'd like to read it to you.
"亲爱的布里格斯先生， 什么都无法抹去3月11日的那件事， 而凯文仍在我们身边，你是原因之一。	"Dear Mr. Briggs, Nothing will erase the events of March 11, but you are one of the reasons Kevin is still with us.
我真的相信凯文是在呼喊求救。	I truly believe Kevin was crying out for help.
他诊断患有精神疾病， 一直在接受适当的药物治疗。	He has been diagnosed with a mental illness for which he has been properly medicated.
在凯文年仅六个月时，我收养了他， 我完全不知道他在遗传上的任何问题， 但感谢上帝，现在我们知道了。	I adopted Kevin when he was only six months old, completely unaware of any hereditary traits, but, thank God, now we know.
凯文说自己是直男。	Kevin is straight, as he says.
我们真的为你而感谢上帝，	We truly thank God for you.
真的感激不尽， 娜弗拉·贝希亚。"	Sincerely indebted to you, Narvella Berthia."
在信下面她写道， "又及：我那晚到旧金山综合医院时， 你被登记为病人。	And on the bottom she writes, "P.S. When I visited San Francisco General Hospital that evening, you were listed as the patient.
天哪，我一定要提这事吗？"	Boy, did I have to straighten that one out."
今天，凯文是个慈爱的父亲， 对社会也在做出贡献。	Today, Kevin is a loving father and contributing member of society.
他坦率地说起 那天的事和他的抑郁症， 希望他的故事 能启发他人。	He speaks openly about the events that day and his depression in the hopes that his story will inspire others.
自杀不仅是我工作中遇到的事情，	Suicide is not just something I've encountered on the job.
在我的私人生活也有。	It's personal.
我的祖父服毒自杀。	My grandfather committed suicide by poisoning.
他这样做，虽然结束了他自己的痛苦， 而连我认识他的机会也被夺走了。	That act, although ending his own pain, robbed me from ever getting to know him.
这就是自杀的后果。	This is what suicide does.
