Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
My mother sadly said "maybe it's time to give it up..." but I didn't want to give up.	母は残念そうに「捨てどきかな ... 」 と言いましたが、私はあきらめたくありませんでした。
First I checked home centers to look for an alternative connective piece.	まずホームセンターをめぐり、この連結金具に替わるものを探しました。
However, even though there were metal rings, they were all silver colored.	ただし、リング状の金具はあるにはあっても、すべてシルバーカラーばかり。
I couldn't find gold anywhere.	ゴールドはまったく見当たりませんでした。
I checked CanDo as a last resort, and that's when I found it!	ダメ元でキャンドゥへ行ってみたところ、ついに発見です！
I was impressed when I found it in the handicrafts corner.	手芸コーナーで発見したときは感動しました。
As to be expected of a 100 yen shop, you can find anything.	さすが100均、なんでも揃います。
It seems like it was originally meant to be a component for DIY key chains and charms.	本来はキーホルダーやチャームDIY用に使うパーツのようです。
We planned to use one on either hand of the bag handle, so we bought 2.	バッグハンドルの両端に1つずつ使う予定で、計2個購入しました。
Although the ring is smaller, when you look at it next to the remaining connector, it's exactly the same...!	リングのサイズは小さいものの、残された片側のバッグ金具と並べてみると、まったく同じ作り ... ！
This opens the way for repairing the bag.	これでバッグ修理への道が開けました。
I installed it immediately.	さっそく取り付けです。
So excited...!	ドキドキ ... ！
The ring is designed to push inward at its opening so it's resistant to being pulled outward.	リング開口部は内側へ折れる仕様となっていて、外側への引っ張りに強いです。
I immediately attached it to the bag.	さっそくバッグに取り付けてみました。
The gold color of the fittings matches well! but, because the ring is small, it's tight and doesn't move well...	金具の色がゴールド系にそろっていい感じ♪ ですが、リングサイズが小さいため、動きが悪く窮屈 ... 。
So, I decided to connect 2 rings.	そこで、思い切ってリングを二連式にしてみました。
The number of parts has increased, but since they are light there's no problem with the weight.	金具は増えましたが軽量パーツのため、重さにはまったく問題なし。
Rather, the sparkling parts have increased, and I feel like the design has leveled up.	むしろキラキラしたパーツが増えて、デザイン的にレベルアップした気がします。
National Railroad Express Train Aso becomes temporary train 10 hour trip between Hiroshima and Kumamoto| Shizuoka Newspaper @S	国鉄の急行「阿蘇」が臨時列車に 広島―熊本、１０時間の旅｜静岡新聞アットエス
The special train waiting to depart JR Hiroshima Station on the 28th, its livery designed to evoke Express Train Aso during its National Railroad period	ＪＲ広島駅で出発を待つ、国鉄時代の急行「阿蘇」をイメージした臨時列車＝２８日
Travellers enjoying a ride on the special express train on the 28th, its design inspired by Express Train Aso during its National Railroad period	国鉄時代の急行「阿蘇」をイメージした臨時列車の旅を楽しむ人たち＝２８日
On the 28th, a special express train whose design was inspired by Express Train Aso during its National Railroad period operated between Hiroshima and Kumamoto.	国鉄時代の急行「阿蘇」をイメージした臨時列車が２８日、広島―熊本間で運行された。
A crowd of around 240 railway fans descended on Hiroshima Station in the morning to board the classic blue 12-series carriages, before setting off on a 10-hour journey to Kumamoto.	鉄道ファンら約２４０人が同日朝、広島駅から往年の青い１２系客車に乗り込み、熊本駅まで約１０時間の旅に出発した。
The Aso Express is a former night train that operated from 1950 to 1980, connecting Tokyo and Kumamoto.	阿蘇は１９５０～８０年、熊本と東京などを結んだ夜行列車。
This time, it operated just one round trip (taking two days), organised as a tour by the Nippon Travel Agency as part of the Destination Kumamoto Campaign planned by Japan Railways.	運行は１往復限定（２日間）で、ＪＲ各社などによる観光企画「熊本デスティネーションキャンペーン」の一環として、日本旅行がツアーを主催した。
The train consists of seven cars, the locomotive and six coaches, and ran on the Sanyo, Chikuho and Kagoshima lines.	列車は客車と機関車合わせて７両編成で、山陽線、筑豊線、鹿児島線を走行。
It featured a special name plate depicting Mount Aso.	阿蘇山が描かれた特別なヘッドマークを掲げた。
Brother Jailed For Life For Pakistan Social Media Star Qandeel Baloch's Honour Killing	パキスタンのSNSスター、カンディール・バローチさんの名誉殺人で兄が終身拘置
Qandeel Baloch, who shot to fame for her social media photos, was strangled in July 2016.	ソーシャルメディアに投稿した写真で名声を得たカンディール・バローチさんが2016年7月に絞殺された。
The brother of Pakistani social media star Qandeel Baloch was on Friday convicted of her murder and sentenced to life in prison in the patriarchal country's highest-profile "honour killing."	パキスタンのソーシャルメディアの人気者、カンディール・バローチさんの兄は、金曜日、妹殺害で有罪確定となり、家父長国家パキスタンで最も注目を集めた「名誉殺人」で無期懲役の判決を受けた。
Baloch, who shot to fame for her risque selfies -- tame by Western standards, but considered provocative in deeply misogynistic Pakistan -- was strangled in July 2016.	際どい自撮り写真−欧米の基準では大したことはない程度だが、女性蔑視の非常に強いパキスタンでは挑発的とされた−で有名なバローチさんは、2016年7月に絞殺された。
Her brother Muhammad Waseem was arrested.	兄のムハマンド・ワシームが逮捕された。
Days later he told a press conference that he had no remorse over what he did, saying that "of course" he had murdered his sister and that her behaviour had been "intolerable."	兄は数日後の記者会見で「もちろん」妹を殺害した、妹の行為は「許せなかった」とし、自分のやったことは後悔していない、と語った。
His lawyer, Sardar Mehmood, told AFP the court in the eastern city of Multan had found his client guilty and sentenced him to life imprisonment, in a long-awaited verdict.	同氏の弁護士であるサルダール・メームード氏は、東部都市ムルタンの法廷が、待ちに待った判決でワシーム被告を有罪とし終身刑を下したとAFPに語った。
"Inshallah (God willing), he will be acquitted by a high court," he said.	「インシャラー（神の思し召しで）、最高裁判所では無罪となるでしょう」と同弁護士は述べた。
Earlier, Baloch's mother Anwar Mai told AFP she had hoped her son would be acquitted.	これに先立ち、バローチさんの母親アンワル・マイさんは息子が無罪になるよう望んでいたとAFPに語った。
"He is innocent.	「息子に罪はありません。
She was my daughter and he is my son," she said.	私の娘と私の息子です」と母親。
Baloch's murder made international headlines and reignited calls for action against an epidemic of so-called "honour killings," in which a victim -- usually a woman -- is murdered for flouting patriarchal social codes.	バローチさん殺害は世界中で大ニュースとなり、父権的社会の掟を軽視したとして、被害者、たいていは女性が殺される、いわゆる『名誉殺人』の蔓延に対し行動を求める声が再燃している。
Women have been burned, shot, stabbed and strangled for offences such as choosing their own husband or -- in Baloch's case -- bringing "shame" on their family by celebrating their sexuality.	女性は、自分で結婚相手を選ぶ、ーバローチさんのケースでは、自分のセクシャリティを称賛して家族を恥にさらしたーなどの犯罪で火炙り、銃殺、刺殺または絞殺されてきた。
The killings are usually carried out by a close relative.	殺害はたいてい近親者によって実行される。
Under Pakistan's Qisas (blood money) and Diyat (retribution) law, they can then seek forgiveness from a victim's relatives.	その後、パキスタンのキサース（殺人報酬）およびディーヤ（報復）法により、加害者は被害者の親族から赦し請うことができる。
Three months after Baloch's murder, parliament passed new legislation mandating life imprisonment for honour killings.	バローチさん殺害から３ヶ月後、議会は名誉殺人に対して終身刑を義務付ける新法案を通過させた。
However, whether a murder is defined as a crime of honour is left to the judge's discretion, meaning that killers can theoretically claim a different motive and still be pardoned.	しかし、殺人が名誉犯罪にあたるのかは裁判官の裁量に委ねられており、殺人犯は理論上別の動機を主張でき、赦免される可能性もなおある。
In Baloch's case, her parents initially insisted their son would be given no absolution.	バローチさんのケースでは、当初両親が息子に赦免を与えないように主張していた。
But, heartbroken at the thought of losing him also, they changed their minds and said they wanted him to be forgiven.	しかし、息子まで失うと考えて悲しんだ両親は考えを変え、息子を赦してほしいと語った。
International revulsion at the killing had seen the Pakistani state take the unprecedented step of declaring itself an heir alongside the parents, however, forcing the case to move ahead.	殺害に対する国際的な嫌悪を受けて、パキスタン政府は両親とともに国も後継者であると宣言するという前例のない手段をとったが、訴訟は続行させた。
Some of Baloch's better-known actions included offering to perform a striptease for the Pakistani cricket team, and donning a plunging scarlet dress on Valentine's Day.	バローチさんの有名な行動には、パキスタンクリケットチームにストリップショーを披露することを申し出たことや、バレンタインデーに胸元が広く開いた真っ赤なドレスを着用したことなどがある。
She attracted criticism and threats but was perceived by many, including young people, as breaking new ground in a country where presenting yourself as a Kim Kardashian-like figure can be seen as a bold, political act of women's empowerment.	批判と脅迫の的となったが、キム・カーダシアンのような存在として自分を表現することが大胆で女性の地位を向上させる政治的活動とみなされる国で新天地を切り開いたと、若者を含む多くの人から認識された。
The roots of "honour" killings lie in tribal social norms, which remain prevalent across South Asia and dictate the behaviour of women in particular, though men can be victims too.	「名誉」殺人のルーツは民族的な社会規範で、現在も南アジア中に広く残っており、特に女性の行動に影響するものであるが、男性が被害者になることもある。
Sending 1600 cold protection sheets to disaster area Prefecture off-shore earthquake, Headquarters to donate 1600 sheets and container｜Yamagata Newspaper	防寒シート、被災地に 本県沖地震・本社、1600枚と収納箱寄贈へ｜山形新聞
"Box of cold protection sheets" located in Tsuruoka city, Nezugaseki district's primary evacuation site, "former Nezugaseki junior high school grounds"	鶴岡市鼠ヶ関地区の１次避難場所「旧念珠関中グラウンド」に設置した「防寒シートボックス」
Yamagata Newspaper is donating 1600 aluminum cold and heat resistant evacuee sheets and 5 containers to store them (totaling 1 million yen worth) to 4 neighborhood associations in Atsumi district, Tsuruoka city that have been affected by the earthquake in June that had the epicenter off the coast of this prefecture.	山形新聞社は、本県沖を震源とする6月の地震で被災した鶴岡市温海地域内四つの自治会に対し、アルミ製の避難者用防寒・遮熱シート1600枚と、これを保管する屋外用収納ボックス5基（計約100万円相当）を寄贈する。
They will be placed in primary evacuation sites that have been established in preparation for a tsunami, in each coastal districts.	津波に備えて沿岸各地区に設けられている「1次避難場所」などに配置してもらう。
On the 2nd of next month, the presentation ceremony will be conducted at the "former Nezugaseki junior high school grounds", the primary evacuation site in Nezugaseki district.	来月2日、鼠ケ関地区の1次避難場所「旧念珠関中グラウンド」で贈呈式を行う。
Because of the earthquake damage that occurred in Tsuruoka City, which has a cooperative agreement, cold protection sheets and other items will be sent to the neighborhood association in the Atsumi district, which is closest to the epicenter.	連携協定を締結している鶴岡市で発生した地震被害を受け、震源地に最も近い温海地域の自治会に防寒シートなどを贈る。
Donation destinations include neighborhood associations in; Atsumi (400 sheets), Koiwakawa (500 sheets and 2 containers), Hayada (300 sheets and 1 container) and Nezugaseki (400 sheets and 2 containers).	寄贈先は▽温海（400枚）▽小岩川（500枚、収納ボックス2基）▽早田（300枚、収納ボックス1基）▽鼠ケ関（400枚、収納ボックス2基 ） ― の各自治会。
When the earthquake occurred in the prefecture's offshore, many residents along the coast of Japan sea evacuated wary of the tsunami.	本県沖地震が発生した際、日本海沿岸部の住民の多くが津波を警戒して避難した。
In the city of Tsuruoka, evacuation took place to primary evacuation sites located on higher grounds above each settlement.	鶴岡市内でも各集落の高台などに設けられている1次避難場所に逃げた。
No large-scale tsunami occurred, and most evacuees returned home without moving to a fully equipped secondary evacuation shelter, but many of the primary evacuation sites were outdoor and people complained about the cold weather.	大規模な津波は発生せず、ほとんどの避難者は宿泊可能な施設・設備が整った2次避難場所に移動せず帰宅したものの、1次避難場所の多くが屋外のため、寒さを訴える声が聞かれた。
In preparing for a similar disaster, one of the tasks was making a counterplan in case of cold weather, wind or rain.	同様の災害への備えとして、厳寒期や風雨を想定した対策が課題の一つとなった。
The sheet can be used to cover the whole body to protect from cold, wind and rain.	避難時に全身を覆って寒さや風雨をしのぐことができるシート。
It also has a heat shielding function that can be used under the hot sun.	炎天下での遮熱機能も備えている
The sheet is approximately 1.3 meters × 2.1 meters, and it folds into a small size of 9 cm × 12 cm.	シートは約1.3メートル×2.1メートルで、折り畳むと9センチ×12センチのポケットサイズになる。
It is a 4-layer structure and depending on the situation you may use the gold side on the front or silver side on the back, utilizing the cold protection ability when cold and heat shielding ability under the sun.	4層構造で金色と銀色の表と裏を使い分けて体を覆うことで、寒冷時の防寒と炎天下での遮熱機能を発揮する。
For the outdoor primary evacuation sites, there will be metal containers set up to store the sheets.	屋外に設けられている1次避難場所にはシートを収納する金属製ボックスを設置する。
[Badminton, Korean OP] Momota, Okuhara, Takamatsu Japanese team advances to the top 8 in 5 events!	【バドミントン・韓国OP】桃田、奥原、タカマツら、日本勢は5種目でベスト8進出！
September 26th is the third day of the badminton BWF world tour Korean open (South Korea, Incheon).	9月26日、バドミントンのBWFワールドツアー、韓国オープン（韓国・仁川）は大会3日目。
Second rounds of each event were held and the Japanese team advanced to the top 8 in all 5 events.	各種目2回戦が行われ、日本勢は全5種目でベスト8進出を果たした。
At Men's singles, Momota Kento (NTT East Japan /ranked 1st in world), who has won the world championship twice consecutively, had a straight victory against the local player from Korea.	男子シングルスで世界選手権2連覇中の桃田賢斗（NTT東日本・世界ランク1位）は、地元、韓国の選手にストレート勝利。
He is now one step closer to winning his second consecutive victory since the previous week's China open.	前週の中国オープンからの2週連続優勝に一歩近づいた。
For women, world championship runner up, Okuhara Kibo (Taiyo Holdings /ranked 3rd in world) and China open best 4, Takahashi Sayaka (Nihon Unisys /16th place in world) advanced to the quarter-finals.	女子は、世界選手権準優勝の奥原希望（太陽ホールディングス・同3位 ） 、 中国オープンベスト4の高橋沙也加（日本ユニシス・同16位）が、準々決勝進出を決めた。
Of the five pairs that were left in the women's doubles, China open runner up, Takahashi Reika /Matsutomo Misaki (Nihon Unisys /3rd place in world), as well as 2 pairs from B representatives, Shida Chiharu /Matsuyama Nami (Saishunkan Co.,Ltd /15th place) and Sakuramoto Ayako /Takahata Yukiko (Yonex /23rd place) have advanced to best 8.	5ペアが勝ち残っていた女子ダブルスは、中国オープン準優勝の高橋礼華／松友美佐紀（日本ユニシス・世界ランク3位）と、B代表の2ペア、志田千陽／松山奈未（再春館製薬所・同15位 ） 、 櫻本絢子／高畑祐紀子（ヨネックス・同23位）がベスト8入り。
For men's doubles, Sonoda Keigo / Kamura Takeshi (Tonami Transportation /4th place), for mixed doubles, Watanabe Yudai /Higashino Arisa (Nihon Unisys /4th place) and Kaneko Yuki /Matsutomo Misaki (Nihon Unisys /23rd place) have advanced to the quarter-finals.	男子ダブルスは、園田啓悟／嘉村健士（トナミ運輸・同4位）が、混合ダブルスは、渡辺勇大／東野有紗（日本ユニシス・同4位 ） 、 金子祐樹／松友美佐紀（日本ユニシス・同23位）が、準々決勝進出を決めている。
Opening of the "Twinkling Star Art Exhibition", presenting the artworks of Okayama residents with disabilities: Sanyo Newspaper Digital | San-digi	「きらぼし★アート展」開幕 岡山 障害ある人の芸術作品ずらり：山陽新聞デジタル｜さんデジ
Paintings from the Twinkling Star Exhibition line the street in front of the shops in Omote-cho Shopping Arcade	表町商店街の店舗前に並ぶ「きらぼし★アート展」の絵画作品
The Third Twinkling Star Exhibition (organised by the Okayama Cultural Arts Association for People with Disabilities, Sanyo Newspaper Social Welfare Group and the exhibition's executive committee), which showcases the artworks of disabled people living in Okayama Prefecture, began on the 27th, taking place through the whole of the Omote-cho Shopping Arcade.	岡山県内の障害者の芸術作品を紹介する「第３回きらぼし★アート展 」 （ 岡山障害者文化芸術協会、山陽新聞社会事業団、同展実行委主催）が２７日、岡山市の表町商店街一帯で開幕した。
The collection of works, created through free expression and ideas not bound by pre-established concepts, have been captivating shoppers.	既成概念にとらわれない自由な発想や表現で制作された作品が集まり、買い物客らを魅了している。
The exhibition will be held at its Okayama venue until October 3rd, after which it will be held at a venue in Tamano from the 5th to the 14th (Industry Promotion Building, Tamano).	岡山会場は１０月３日まで、５～１４日には玉野会場（玉野市・産業振興ビル）で開かれる。
Works were solicited from all over the prefecture, and of those that passed the preliminary screening, 50 paintings, 17 sculptures and 15 photographs are now on exhibit.	県内全域から作品を募り、１次審査を通過した絵画５０点、造形１７点、写真１５点を展示。
The paintings are on display in front of the shops in Omote-cho Shopping Arcade, the sculptures can be found in the Tenmanya basement Town Art Space and the photos are at Asano Camera.	絵画は各店舗前、造形は天満屋地下タウンアートスペース、写真はアサノカメラに並ぶ。
A part of each work has also been printed on a banner, and hung from the top of the shopping arcade, to be displayed prominently high up.	各作品の一部はバナー（垂れ幕）に印刷し、商店街のアーケード上部からつるして上空展示している。
There are many impressive paintings, from the bold and colourful to works created with delicate brushstrokes.	絵画は大胆で色彩豊かに描かれたり、繊細な筆致で表現されたりと印象的な作品がずらり。
Familiar materials such as cardboard, clay and umbrellas have been used to create unique sculptures, and the photos are also eye-catching, capturing the four seasons with subjects like the autumn leaves and sunflowers.	ダンボールや粘土、傘など身近な材料を使った造形も個性的で、紅葉やヒマワリといった四季を彩る写真も目を引く。
Committee member Iyogi Koji, chairman of the Prefectural Welfare Association for the Intellectually Handicapped, says, "We've arranged the artworks so that they blend into the city and people can experience them spontaneously. I want lots of citizens to enjoy it."	実行委員の五代儀（いよぎ）幸司・県知的障害者福祉協会会長は「街に作品が溶け込むスタイルで、自然とアートに触れられる。多くの市民の方に楽しんでもらいたい」と話している。
The exhibition started in 2017, in response to the growing momentum of appreciating the works of people without formal art training as "Art Brut".	同展は、美術の専門教育を受けていない人たちの作品を「アール・ブリュット（生（き）の芸術 ） 」 と評価する機運の高まりを受け、２０１７年から実施。
This time, it is running as a support program alongside the 2019 Okayama Art Summit, which opens on the 27th, and the Setouchi Triennale, whose fall program starts on the 28th.	今回は、２７日開幕の「岡山芸術交流２０１９ 」 、 ２８日から秋会期が始まる「瀬戸内国際芸術祭」の後援プログラムとして同時期に開催する。
On the 28th and 29th, there will be a guided tour of the artworks and a live painting session that any can participate in, and on the 29th, there will be accessory crafting workshop where there will be the opportunity to make boar leather earrings.	２８、２９日には、作品のガイド付き鑑賞ツアーや一般参加も可能なライブペイント、２９日にはイノシシ革の端切れでイヤリングなどの小物作りが体験できるワークショップがある。
ASA Amami Sports Academy (from left) enters into a partnership	パートナーシップを締結した（左から）ＡＳＡ奄美スポーツアカデミー
[Okinoerabu General Affairs Bureau] The NPO ASA Amami Sports Academy (Amami, chairman: Sonoda Akira ) and Okinoerabu Sports Club ELOVE (China-cho, chairman: Maeda Junya) entered into a partnership to promote and encourage sports on the outlying islands on the 25th.	【沖永良部総局】ＮＰＯ法人ＡＳＡ奄美スポーツアカデミー（園田明理事長、奄美市）と同沖永良部スポーツクラブＥＬＯＶＥ（前田純也理事長、知名町）は２５日、離島スポーツ振興支援事業パートナーシップを締結した。
As well as proactively linking the projects run by both organisations, such as coaching for various sports, they will also establish a mutual support system to prevent against injuries and manage the physical condition of children from the outlying islands when they go on trips away from the islands.	各種競技のトレーニング指導など、両団体が実施する事業で積極的に連携するほか、離島の子どもたちが島外に遠征する際などの体調管理やけがの予防面でも相互のサポート体制を整える。
When the two organisations run sports-related courses, they will work as agents to dispatch their associated trainers and instructors, and share information with each other.	両団体がスポーツに関連する講習などを行う際に専属トレーナーや講師を仲介・派遣したり、情報共有したりする。
They will also work on solutions for the problems encountered when a team from one of the outlying islands travels to a tournament away from the islands, such as the issue of bringing the trainer along being cost prohibitive due to travel expenses.	離島のチームが島外での大会に遠征する際、旅費負担の面でトレーナーが帯同しづらいなどの課題解消にも取り組む。
For instance, in the event of a tournament on the mainland, such as a prefectural tournament, ASA will coordinate with the Kagoshima Sports Promotion Centre to offer players support to prevent their performance deteriorating from the fatigue caused by travelling by ferry and staying consecutive nights in accommodation.	具体的には、県大会など本土での大会の際に、ＡＳＡと提携する「一般社団法人鹿児島県スポーツ振興センター」と連携し、船旅や連泊での疲れによる選手たちのパフォーマンス低下を防ぐためのサポートを行う。
Similarly, when tournaments occur on Amami-Oshima and Okinoerabu-shima, the organisations will coordinate with local osteopaths and hospitals to provide support to players visiting from the mainland.	また奄美大島、沖永良部島での大会の際も、地元の整骨院や病院関係者と連携し、島外から来た選手たちをサポートするという。
A signing ceremony was held at Erabucoco, China-cho, on the 25th, with Sonoda and Maeda shaking hands.	２５日に知名町のエラブココで締結式があり、園田、前田両理事長が握手を交わした。
Afterwards, the two organisations co-hosted a class on taping given by the athletic trainer, Hidaka Yuichiro.	その後、両団体共催で、アスレチックトレーナーの日高雄一郎さんによるテーピング講習会を開催。
Local junior sports club members, club leaders and parents learned how to tape effectively, as well as how to prevent injuries.	地元のスポーツ少年団や部活動の指導者、保護者がテーピングの適切な使い方と、けが予防の取り組みを学んだ。
Chairman Sonoda (52) commented, "We have a common goal of working to eliminate the handicap of the outlying islands as an environment for sports, and there are many areas where we can cooperate. I hope that entering into this partnership will allow us to expand our sphere of cooperation to the other islands of Amami."	園田理事長（５２）は「スポーツ環境の面で離島のハンディをなくそうという活動の趣旨は互いに共通しており、協力できる部分も多い。今回の締結を機に奄美の他の島とも連携の輪を広げていけたら」と語った。
Chairman Maeda (43) said of the partnership, "It was very encouraging for us to be able to form a partnership with an organisation that has such a strong track record like ASA. I'd like to absorb as much as possible to help better the sports environment for children on the outlying islands."	前田理事長（４３）は「ＡＳＡのような実績のある団体とパートナーシップを結んだのは大変心強い。離島の子どもたちのスポーツ環境整備のため、いいところを吸収していければ」と話した。
Mogi Kenichiro "This is the era of "collapse of conventional common sense"	茂木健一郎「今は"従来の常識が壊れていく"時代。
Men who are able to renew their natural self are the popular ones" (Leon. JP) - Yahoo! News	自分らしさを更新できる男がモテるんです 」 （ LEON.JP ） - Yahoo!ニュース
As a neuroscientist, Mogi Kenichiro has been thinking about "attraction" much more than others.	実は脳科学者として「モテ」について人一倍考えてきたという茂木健一郎さん。
Eye-opening "Neuroscience based attraction theory" freely applying his extensive knowledge and latest studies.	膨大な知識と最新の知見を自在に使いこなした驚きの「脳科学的モテ論 」 。
We are presenting the second half.	その後編をお送りします。
In the first half (see related article), Mogi argued that unattractive men hang onto the typical notion of "men fantasy", and overwhelmingly lack pattern learning to become more attractive.	前編（関連記事参照）では、モテないオトコは、従来型の「男のファンタジー」に固執し、モテるためのパターン学習が圧倒的に足りない！と喝破した茂木さん。
In the second half, he explains how to shed one's loser skin and become attractive.	後編ではそんなダメ男から脱してカッコいい、モテる男になるための方法について語っていただきました。
"Must" mindset makes it hard to thrive	「すべき」にとらわれると生きづらくなる
In the first half, he emphasized the need to learn patterns on a daily basis by observing a variety of arts and people since "attractiveness" is constantly evolving.	前編では「カッコ良さ」って常に進化していくから、いろんな作品や、人の振舞いを見て、日々パターン学習していく必要があるという話をしました。
Pattern learning allows one's brain to systemize behaviors in different situations, probably leading to a carefree life.	パターン学習すると、こういう時はこうしたほうがいいかなって脳が行動を体系化してくれるのでラクに生きられるようになるんじゃないかと。
I still see myself evolving daily whether I am attractive or not.	僕自身は「モテる」かどうかは別として、今でも毎日進化してると思うなあ。
That's why I can skate through life.	だから生きるのがラクなんですよ。
Since I used to give lectures at Tokyo Institute of Technology and Tokyo University of the Arts, I have had many opportunities to interact with younger people, and I have also learned many of their different communication patterns.	東工大や東京藝大で教えていたこともあったから、若い人たちとたくさん話をするし、彼らとのやりとりのパターンもたくさん学習している。
However, if I had cared about my title as a university professor and had the notion of "a university professor should act more dignified" I might have had a bit of a tough time.	でも、もしそこで、大学教授っていう立場にとらわれて 、 「 大学の先生っていうのはもっと威厳があるもんだ」なんていう古いパターンにこだわっていると、ちょっと辛いかもしれないよね。
Since I do not care about stuff like that, I enjoy my day-to-day life.	僕はそういうことにはこだわらないから、毎日楽しい。
When you start caring about how "one should do this" or "one should be this", sure enough, you will have a harder time enjoying life.	やっぱり 、 「 こうするべき」とか「こうあるべき」とか言い出すと生きづらくなっちゃうよね。
Because people and the society are going to change even if you stay the same.	だって自分は変わらなくても人も社会も変わっていくから。
In my latest interview book "Ikiru-Donnani hidoi sekaidemo", I also talked a great deal about the same topic.	最近の僕の対談本『生きる──どんなにひどい世界でも』の中でも随分そういう話をしたんだけどね。
"Dignity" and "authority" naturally arise only when recognized by others.	「重々しさ」や「権威」って、周りがその人のことを認めて自然に出てくるものなんですよ。
You have to be light-hearted.	本人は軽やかじゃないとダメ。
If you ask for it, you will get frustrated.	自分から周りに求めちゃうと苦しい。
Take Takeshi for example, he did the Comaneci move at Cannes Film Festival.	たけしさんなんて、カンヌ映画祭でコマネチやってたじゃないですか。
Although he was being goofy, he was still treated as a "great filmmaker."	本人は軽いのに、周りは「素晴らしい映画監督」として扱うでしょう。
If you have many achievements, there is no need to act arrogant at all.	実績がある人は、偉そうに振る舞う必要はまったくないわけです。
In other words, "should be" gets in the way of becoming light-hearted.	つまり 、 「 らしさ」にとらわれていると軽やかにはなれない。
From my many conversations with women, it seems that "endearment" is the get-out-of-jail-free card and hope for any man, and they do not care about your status or age.	いろんな女性に僕が聞いた限りにおいては、立場や年齢関係なく、どんな男性でも「かわいい」っていうのが免罪符、救いになるみたいですよ。
This "being endearing" is actually quite difficult to achieve.	この「かわいい」っていうのがなんなのかが難しいんですけどね。
What in the world is an "endearing middle-aged man" (laughs).	「かわいいオヤジ」ってなんなんでしょうね (笑) 。
Lawlessness double displaced from NW Nigeria to 40,000: UNHCR	不法状態のナイジェリア北西部、難民数4万人に倍増:国連難民高等弁務官事務所 (UNHCR)
Worsening violence has doubled the number of people displaced from northwest Nigeria to some 40,000 over the past four months, the United Nations said on Friday.	金曜日の国連の発表によると、この4か月間で暴力行為の激化によりナイジェリア北西部からの難民数が約4万人に倍増している。
The UN's refugee agency said the turmoil had created a "new humanitarian emergency" that would require a fresh inter-agency fundraising effort of $35.5 million by the end of the year.	国連難民機関によると、この混乱により「新たな人道的危機」が生まれており、各機関が協力して今年末までに新たに3550万ドルの資金調達活動が必要となる。
UNHCR spokesman Babar Baloch said Boko Haram, the Islamist group that has waged a decade-long insurgency in the north of the country, was not responsible for the latest attacks.	UNHCRのババール・バロク報道官は、10年にわたってナイジェリア北部で反政府活動を続けてきたイスラム過激派組織ボコハラムは直近の複数の武力攻撃とは無関係だと述べた。
Rather, the upsurge of violence in the past 10 months in Sokoto, Zamfara and Katsina states in Nigeria was the work of organized armed groups.	むしろ、過去10か月間にナイジェリアのソコト州、ザムファラ州、カツィナ州で激増した暴力行為は組織化された武装集団によるものだった。
"It paints a horrible picture of lawlessness and insecurity," he told journalists on Friday.	「不法状態と不安定な状況の恐ろしさをよく表しています」とバロク報道官は金曜日、報道関係者に語った。
He said there were frequent reports of kidnapping, torture, extortion, murder and sexual violence by attackers who also destroy homes and steal property.	誘拐、拷問、強奪、殺人や性暴力は頻繁に起こっており、また襲撃者たちは住居を破壊し窃盗も働いているとその報道官は語った。
Military and police have been deployed to tackle criminal gangs in the region.	軍や警察もその地域の犯罪組織に立ち向かうために送り込まれている。
But the military is stretched from fights against Boko Haram and Islamic State's West Africa branch, which split from the former group in 2016.	しかし軍はボコハラムや、2016年に旧組織から分裂したイスラム国西アフリカ支部との戦闘で疲弊している。
"The refugees are not coming with names of groups," he said.	「難民はグループ名を名乗りながらやってくるわけではないのです」とバロク氏は語る。
What they are coming with are horrific accounts.	彼らが携えてくるものは、恐ろしい体験談なのです。
Those fleeing are mostly crossing into neighboring Niger.	難民の大部分は隣国ニジェールへ渡っている。
In a statement, the UNHCR said it expected more to flee to Niger in the coming months as the security situation, particularly in Sokoto state, deteriorates.	UNHCRは声明で、特にソコト州で治安状況が悪化しており、ニジェールへ渡る難民が今後数か月で増加する見通しと発表した。
New trial date set for man accused of killing woman, 2 kids	女性と子供２名を殺害した男性の新公判期日が確定
A new trial date has been scheduled for a Guatemala man accused of killing an Iowa woman and her two children.	アイオワ州の女性とその子供二人を殺害したとされるグアテマラ人男性の公判期日が確定した。
Polk County District Court records say 31-year-old Marvin Escobar-Orellana is charged with three counts of first-degree murder under what authorities say was a false name he initially gave to police: Marvin Esquivel-Lopez.	ポーク郡裁判所の記録によると、マービン・エスコバル・オレリャナ（31）は、当局が認めている当初警察に名乗っていたマービン・エスキベル・ロペスという偽名で行った３つの事件で第一級殺人の罪で起訴された。
He's pleaded not guilty.	彼は無罪を主張している。
Police say he fatally shot 29-year-old Rossibeth Flores-Rodriguez, her 11-year-old daughter and 5-year-old son on July 16 in a Des Moines home.	警察によると、7月16日に、デモインの住宅で、彼はロッシベス・フローレス・ロドリゲスさん（29）、彼女の娘（11）と息子（５）を射殺した。
Court records show the new trial date of Jan. 27 will give attorneys for both sides more time to prepare.	裁判所の記録では、公判期日を新たに１月２７日に決定することで、原告・被告の両弁護士にさらに準備する時間が与えられることになる。
