India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
Hofmann: "We must not think that all is now well". "I am sure we had a bit of luck on our side, but, at some point, that luck had to come back to us.	Hofmann: "Dürfen nicht glauben, dass jetzt alles gut ist" "Wir haben sicher auch ein bisschen Glück gehabt, aber irgendwann muss das Glück auch zu uns zurück kommen.
It was high time", Hofmann said.	Jetzt war es höchste Zeit", sagte Hofmann.
Of course, he spoke about focused and continued work: "You don't have to always see things black and white.	Er mahnte freilich zu konzentriertem Weiterarbeiten: "Man darf das nicht immer schwarz und weiß sehen.
We haven't been playing as badly in recent weeks as it has been made out to be.	Wir haben in den letzten Wochen nicht so schlecht gespielt, wie das dargestellt worden ist.
However, we mustn't think that all is now well.	Wir dürfen aber auch nicht glauben, dass jetzt alles gut ist.
His importance to the team is something that he could not deny.	Die Bedeutung seiner Rolle für das Team konnte er nicht bestreiten.
After all, it is a very young team, which, I am able to help at the moment.	Es ist doch eine sehr junge Mannschaft, der ich im Moment sehr helfen kann.
They hold on to me in certain phases", Hofmann said.	Die halten sich in gewissen Phasen doch an mir an", sagte Hofmann.
Grödig's coach, Michael Baur and his team have little to blame themselves for.	Grödig-Coach Michael Baur hatte sich und seiner Mannschaft wenig vorzuwerfen.
He is sorry about the quick counter goal, describing it as "a kind of magic goal", as well as the normal goal scored by Nutz in the 40th minute, which was wrongfully denied by the referee, Kollegger.	Er bedauerte den schnellen Gegentreffer "aus der Kategorie Zaubertor", sowie das reguläre Tor von Nutz in der 40. Minute, das von Schiedsrichter Kollegger zu Unrecht aberkannt worden war.
The only criticism I can make about the team is that we were sometimes not precise enough upfield.	Den einzigen Vorwurf, den ich der Mannschaft machen kann ist, dass wir Richtung Tor in einigen Phasen nicht konkret genug waren.
Because we had far to few goals.	Da haben wir zu wenig Abschlüsse gehabt.
Center back, Maximilian Karner thought the same: "It started off badly, but we then found our feet, and even scored a goal.	Innenverteidiger Maximilian Karner sah es ähnlich: "Es hat gleich schlecht begonnen, dann haben wir aber rein gefunden und sogar ein Tor gemacht.
All in all, we could have had more.	Im Großen und Ganzen wäre mehr drin gewesen.
Silence prevails beneath this treetop	Unter diesem Wipfel herrscht Ruh
Last Friday, when giving out the puzzle on the summer series "My piece of Rhön happiness", we showed a mighty tree trunk.	Einen mächtigen Stamm zeigten wir bei unserer Rätselaufgabe der Sommerserie "Mein Stück vom Rhöner Glück" am vergangenen Freitag.
There are still several of these giant trees in the region; the example shown is the "Geissruheiche", an oak tree, which stands above the village of Unterweissenbrunn.	Mehrere dieser Baumriesen gibt es noch im Landkreis, das abgebildete Exemplar ist die "Geißruheiche" oberhalb von Unterweißenbrunn.
A rocky footpath leads up to the somewhat 600 year old oak tree.	Ein holpriger Fußweg führt hinauf zu der rund 600 Jahre alten Eiche.
You walk past enclosures, basalt cairns and a sea of stones.	Es geht vorbei an Koppeln, Basaltsteinhaufen und Basaltsteinmeeren.
The tree is located just below the Bauersberg's stone quarry, one kilometer north of the street to Weisbach.	Ein Stückchen unterhalb des Steinbruchs vom Bauersberg, einen Kilometer nördlich der Straße nach Weisbach, da steht sie.
The natural monument looks energetic; it towers above the other trees in the area, and, being more than eight meters in size, it reminds you of an American giant Sequoia.	Vital sieht das Naturdenkmal aus, es ragt über die anderen Bäume der Umgebung hinaus und erinnert mit einem Umfang von über acht Metern an einen amerikanischen Mammutbaum.
A small Buddha on top of a tree stub indicates that this is a spiritual or mystic place.	Ein kleiner Buddha auf einem Baumstumpf deutet darauf hin, dass es sich um einen spirituellen oder mystischen Ort handelt.
Despite intensive research, there are only clues to the origins of the name.	Doch trotz intensiver Recherchen gab es lediglich Hinweise auf die Namensherkunft.
Dr Wolfgang Schneider has, once again, consulted the Bischofsheim Archives, and asked elderly people from Unterweissenbrunn in order to find out what it has to do with the Geissruheiche.	Dr. Wolfgang Schneider hat extra das Bischofsheimer Archiv konsultiert und ältere Leute aus Unterweißenbrunn befragt, um zu erfahren, welche Bewandtnis es mit der Geißruheiche hat.
The results of his investigation revealed a less colorful explanation of the name.	Das Ergebnis seiner Nachforschungen blieb die recht nüchterne Erklärung für den Namen.
According to his research, up to around 80 years ago, the goat herders are said to have led their animals out of Unterweissenbrunn along the arduous, cleared and stoneless meadows.	Demnach sollen bis vor etwa 80 Jahren die Ziegenhirten ihre Tiere von Unterweißenbrunn aus auf die mühselig gerodeten und von Steinen befreiten Wiesen getrieben haben.
The herdsmen, exhausted after the ascent, rested at the foot of the tree.	Am Fuße des Baumes sollen sich die vom Aufstieg erschöpften Tierhüter ausgeruht haben.
Since then, the area has won back its significance, because herds of goats, once again grazing the meadows.	Inzwischen hat der Bereich seine Bedeutung zurück gewonnen, denn auf den Wiesen weiden tatsächlich wieder Ziegenherden.
In addition, Schneider also discovered that the region has been declared the core area in the biosphere reserve.	Der Bereich ist außerdem zur Kernzone des Biosphärenreservats erklärt worden, hat Schneider weiter herausgefunden.
One should exercise caution when treading over the mass of stone because the sun-warmed basalt is also a popular whereabouts for the European viper.	Beim Betreten der Steinansammlungen sollte man aber Vorsicht walten lassen, denn der von der Sonne aufgewärmte Basalt ist auch für Kreuzottern ein beliebter Aufenthaltsort.
A hiking trail leads from Unterweissenbrunn up to the tree, but it is somewhat hidden.	Ein Wanderweg führt von Unterweißenbrunn zu dem Baum, der aber etwas versteckt liegt.
Further trails are signposted, which lead up towards Hochrhön and offer an extensive hike.	Weitere Wege sind ausgeschildert, die Richtung Hochrhön hinaufsteigen und zu einer ausgedehnten Wanderung einladen.
Where is the moated castle?	Wo steht die Wasserburg?
A moated castle, which we looked for as part of our next challenge, is, of course, rather hard to find way up high.	Eine Wasserburg, die bei unserer nächsten Aufgabe gesucht wird, ist allerdings in der Höhe eher selten zu finden.
The reflection in the moat already provides a good impression of the structure, but we do have some historical buildings in the district, and the building portrait may just be a good example of this.	Die Spiegelung im Graben gibt schon einen guten Eindruck vom Bauwerk, doch wir haben im Landkreis einige historische Bauten, zu denen das Gebäudekonterfei passen könnte.
Where is our "piece of Rhön happiness"?	Wo befindet sich unser "Stück vom Rhöner Glück"?
My piece of Rhön happiness	Mein Stück Rhöner Glück
As with the other Main-Post series over the years, there are prizes to be won again this year if you guess the correct answer.	Wie bei früheren Serien der Main-Post in vergangenen Jahren gibt es auch heuer wieder Preise zu gewinnen, wenn sie die richtige Lösung haben.
If you like to take photos, why not join in.	Wer selbst gerne fotografiert, kann ebenfalls mitmachen.
Using "Stück vom Rhöner Glück" as the subject, send us your answer and your own personal "piece of Rhön happiness" to: red.neustadt@mainpost.de.	Unter der E-Mail-Adresse red.neustadt@mainpost.de können Sie uns die Lösung und auch Ihr ganz persönliches "Stück vom Rhöner Glück" unter diesem Stichwort zusenden.
The nicest photos will be published.	Die schönsten Fotos werden veröffentlicht.
After weeks of verbal wrangling Italy's Premier - and sitting EU-Chairman - Matteo Renzi, has managed to push through his nomination of his foreign minister, Federica Mogherini, as head of EU- Foreign Policy, despite strong conservative opposition at the special EU summit. She will be the successor of the Britain, Catherine Ashton.	Nach wochenlangem Tauziehen hat Italiens Premier und amtierender EU-Vorsitzender, Matteo Renzi, gegen starke konservative Widerstände auf dem EU-Sondergipfel vergangene Woche die Nominierung seiner Außenministerin Federica Mogherini als Chefin der EU-Außenpolitik durchgesetzt, Sie wird Nachfolgerin der Britin Catherine Ashton.
Renzi observes how the government-friendly daily newspaper, La Repubblica, describes the appointment of Mogherini, who was also seen as the favourite by the government, as a strengthening of the position of the Social Democrats and of his own position in the EU.	Renzi betrachtet, wie die regierungsnahe Tageszeitung La Repubblica wiedergibt, die Berufung seiner auch im Regierungsteam als Favoritin geltenden Mogherini als Stärkung der Position der Sozialdemokraten und seiner eigenen in der EU.
He expects it to provide a boost for his "Reform Package" in Italy.	Er erwartet davon auch einen Auftrieb für sein "Reformpaket" in Italien.
Renzi hopes, not least, to be able to thus quieten the left-wing party basis which is always stirring against him, for Mogherini is considered to be one of their group - albeit one of the more moderate.	Nicht zuletzt hofft Renzi, damit auch die immer wieder gegen ihn aufbegehrende linke Parteibasis ruhig zu stellen, denn Mogherini wird dieser - wenn auch eher in gemäßigter Weise - zugeordnet.
In opposition to the conservative representatives, Commission President Jean-Claude Juncker and the Pole Donald Tusk, who was named as Council President, were voted in, so the prevailing opinion in Rome, in order to achieve a political balance.	Gegenüber den konservativen Vertretern mit Kommissionspräsident Jean-Claude Juncker und dem als Ratspräsidenten nominierten Polen Donald Tusk werde, so die vorherrschende Meinung in Rom, damit ein politischer Ausgleich hergestellt.
For the Chief Diplomat of the EU will also serve as the Deputy to Commission President Juncker.	Denn die Chefdiplomatin der EU wird gleichzeitig Stellvertreterin des Kommissionspräsidenten Juncker.
The agreement of the EU-Parliament is considered to be safely secured.	Die noch ausstehende Zustimmung des EU-Parlaments gilt als sicher.
If this were not the case, then State President Giorgio Napolitano would hardly have called the nomination of the 41 year-old politician from the ruling Democratic Party (PD) "an important recognition" of the role of Italy in the EU.	Sonst hätte Staatspräsident Giorgio Napolitano die Nominierung der 41jährigen Politikerin der regierenden Demokratischen Partei (PD) wohl kaum eine "wichtige Anerkennung" der Rolle Italiens in der EU genannt.
La Repubblica is optimistic that Mogherini, who has held high office over two decades in different governments, and who is known for her ambition, will be able to meet the "enormous challenges".	La Repubblica verbreitet Optimismus, daß die seit fast zwei Jahrzehnten in führenden Parteiämtern bewährte und für ihren Ehrgeiz bekannte Mogherini sich den "enormen Herausforderungen" gewachsen zeigen werde.
The woman, who was born in Rome, is married and has two daughters.	Die gebürtige Römerin ist verheiratet und hat zwei Töchter.
The qualified doctor of political science began her party career in 1996 in the youth organization of the former Democratici di Sinistra (left wing democrats), which merged with the catholic centre party, Margherita, in 2008, to form today's social democratic party (PD).	Ihre Parteikarriere begann die promovierte Politologin 1996 in der Jugendorganisation der damaligen Democratici di Sinistra (Linksdemokraten), die sich 2008 mit der katholischen Zentrumspartei Margherita zur heutigen sozialdemokratischen PD zusammenschloß.
In 1999 Mogherini became Vice President for three years of the European Community Organization of Socialist Youth.	1999 wurde Mogherini für drei Jahre Vizepräsidentin der European Community Organisation of Socialist Youth (Europäische Jungsozialisten).
The election of 2001 saw her take high office with a place on the council of the Left Wing Democrats, working in the foreign policy department and then becoming its head.	Mit der Wahl 2001 in den Parteirat der Linksdemokraten stieg sie in die hohe Parteipolitik ein, arbeitete in der Abteilung Außenpolitik, deren Leiterin sie bald wurde.
She was responsible for traditional cornerstones of Italian foreign policy such as the Middle East; became known for her preparatory work to the operation of NATO in Afghanistan, in which Italy has a participating contingent; and she promoted relations with the Social Democrats in Europe and with the Democrats in the USA.	Sie besetzte traditionelle Schwerpunkte italienischer Außenpolitik wie den Nahen Osten, wurde durch Studien zum NATO-Einsatz in Afghanistan, an dem Italien mit einem Truppenkontingent beteiligt ist, bekannt, pflegte die Kontakte zu den Sozialdemokraten in Europa und zu den Demokraten in den USA.
Since 2008 she has been a member of the Chamber of Deputies, in which she serves as an expert on Defence and European and International Affairs.	Seit 2008 ist sie Mitglied der Abgeordnetenkammer, in der sie Expertin für Verteidigung und europäische und internationale Angelegenheiten ist.
When Renzi became Premier in February 2014, he appointed Mogherini as his Foreign Minister.	Als Renzi im Februar 2014 Premier wurde, berief er Mogherini zu seiner Außenministerin.
If the PD today enjoys a better relationship with the strong freedom movement in the country, which contributed to the more than 40 percent votes for the Party in the EU elections, then it was Federica Mogherini who played a leading role in that, as is strongly believed in PD circles.	Wenn die PD heute wieder ein besseres Verhältnis zur starken Friedensbewegung im Lande hat, die zu den über 40 Prozent Stimmen der Partei bei den EU-Wahlen im Mai beitrug, dann habe, wie in PD-Kreisen vermerkt wird, Federica Mogherini einen Anteil daran.
The claims in Brussels that the new EU-Foreign Minister has too little diplomatic experience and therefore lacks clout, is rebutted by the PD.	Den Vorhaltungen in Brüssel, die neue EU-Außenbeauftragte habe zu wenig diplomatische Erfahrung, fehle es also an Substanz, wird in der PD gekontert.
In Brussels, the realistic stance taken by Logherini in the Ukrainian crisis have been attacked and denigrated, particularly by the Polish members and those representing the Baltic States.	In Brüssel werden, vor allem von Polen und den baltischen Mitgliedern, mißtrauisch realistische Akzente Mogherinis zur Krise in der Ukraine verfolgt und als "rußlandfreundlicher Kurs" diffamiert.
She is a supporter of Pipeline South Stream, run by the Russian firm Gasprom, through which Russian natural gas is to be transported directly to southern Europe, by-passing Ukraine. This will also make Italy's own energy secure.	Sie befürwortet die von der russischen Firma Gasprom betriebene Pipeline South Stream, über die russisches Erdgas unter Umgehung der Ukraine direkt nach Südeuropa transportiert werden soll, was auch der Energiesicherung Italiens dient.
After Renzi had assumed his position as EU-Chairman in July, Mogherini embarked on her first state visit to Moscow.	Nachdem Renzi im Juli seine Amtszeit als EU-Vorsitzender angetreten hatte, reiste Mogherini zu ihrem ersten Staatsbesuch nach Moskau.
Photos showing her shaking hands with Putin were received in Brussels with indignation, as was the fact that she invited the Kremlin chief to an economic summit in Milan in October.	Fotos, die sie mit Putin beim Shake-hands zeigten, wurden in Brüssel mit Empörung aufgenommen, ebenso, daß sie den Kreml-Chef für Oktober zu einem Mailänder Wirtschaftsgipfel einlud.
A total of nine people began their training course on Monday, at emz-Hanauer in Nabburg.	Insgesamt neun junge Leute haben am Montag ihre Ausbildung bei emz-Hanauer in Nabburg begonnen.
They include a trainee, who had already completed another course in the same company.	Darunter ist ein Azubi, der bereits zuvor eine andere Ausbildung in dem Unternehmen abgeschlossen hat.
The new trainee employees will receive training for four future job areas: Electronics engineers (three trainees); mechatronics engineers or technicians (two); tool mechanics (two) and process engineers (two).	In vier Ausbildungsberufen sind die neuen Mitarbeiter künftig tätig: Elektroniker (drei Auszubildende), Mechatroniker (zwei), Werkzeugmechaniker (zwei) und Verfahrensmechaniker (zwei).
All the trainees come from the county of Schwandorf: Tobias Braun and Thomas Bücherl from Schwarzach, Stefan Brickl and Florian Rewitzer from Schmidgaden, Johannes Beer from Neunburg vorm Wald, Felix Domaier from Oberviechtach, Daniel Sorgenfrei and Sebastian Zahner from Pfreimd, as well as Ferdinand Strebl from Teunz.	Alle Azubis kommen aus dem Landkreis Schwandorf: Tobias Braun und Thomas Bücherl aus Schwarzach, Stefan Brickl und Florian Rewitzer aus Schmidgaden, Johannes Beer aus Neunburg vorm Wald, Felix Domaier aus Oberviechtach, Daniel Sorgenfrei und Sebastian Zahner aus Pfreimd sowie Ferdinand Strebl aus Teunz.
The new trainees had previously attended middle and junior high schools.	Die neuen Auszubildenden besuchten zuvor Haupt- beziehungsweise Mittelschulen und Realschulen.
From Wednesday until Friday, the trainees of all the various ages were going to a Team Building event in Oberammergau, which included among other things an all-day hike and rafting on the Inn River.	Von Mittwoch bis Freitag fahren die Auszubildenden aller Jahrgänge sowie die Ausbilder zu einem Teambildungsevent nach Oberammergau, wo unter anderem eine Ganztageswanderung und Rafting auf dem Inn auf dem Programm stehen.
The company has 435 employees throughout Germany and 950 worldwide.	Das Unternehmen zählt deutschlandweit 435 und weltweit 950 Mitarbeiter.
The number of trainees across all age-groups totals 27.	Die Zahl der Auszubildenden über alle Jahrgänge verteilt beträgt 27.
France's Socialists should 'shut up and sort France out', Francois Hollande's key ally says	Die Sozialisten in Frankreich sollten "den Mund halten und Frankreich in Ordnung bringen," sagte der wichtigste Verbündete von Francois Hollande.
Mr Valls called on the deeply divided Left to "show its affection" for the embattled Socialist president, whose reshuffle has failed to meet the approval of the vast majority of French.	Herr Valls rief die tief gespaltene Linke dazu auf, "ihre Liebe" für den umstrittenen sozialistischen Präsidenten zu zeigen, dessen Kabinettsumbildung auf Missbilligung bei der großen Mehrheit der Franzosen gestoßen ist.
The president deserves everyone's respect, he deserves our loyality, he deserves our support.	Der Präsident verdient jedermanns Respekt, er verdient unsere Loyalität, er verdient unsere Unterstützung.
"It is our duty to remain at his sides," he said, to applause.	"Es ist unsere Pflicht, an seiner Seite zu bleiben," sagte er bei großem Applaus.
As a placatory gesture, the prime minister insisted his government would not call into question France's controversial 35-hour working week, despite inflammatory suggestions it should relax the rules earlier in the week by Emmanuel Macron, the new economy minister.	Als beschwichtigende Geste bestand der Premierminister darauf, dass seine Regierung die kontroverse 35-Stunden-Woche in Frankreich trotz heftiger Forderungen nach einer Lockerung der Regelung von Seiten Emmanuel Macrons, der neuen Wirtschaftsministers, nicht in Frage stellen werde.
On Saturday, Mr Hollande had implored his fellow Socialists to remain "united" with the government.	Am Samstag hatte Herr Hollande seine Mitsozialisten dringend dazu aufgerufen, sich "vereint" mit der Regierung zu zeigen.
But Christiane Taubira, the justice minister, put a spanner in the works by turning up to a meeting of rebel Socialist MPs and criticising the Socialist Party for letting the French "lose faith in their future."	Aber Christiane Taubira, die Justizministerin, streute Sand ins Getriebe, in dem sie bei einem Treffen abtrünniger sozialistischer Abgeordneter auftrat und die Sozialistische Partei dafür kritisierte, dass sie die Franzosen "den Glauben an ihre Zukunft" nehme.
Marine Le Pen, the far-Right National Front leader, heaped scorn on the Socialists' constant in-fighting by saying she did not see the new Valls government lasting more than just a few months.	Marine Le Pen, die weit rechts stehende Führerin der Nationalen Front, verspottete die ständigen Grabenkämpfe der Sozialisten und sagte, dass sie sich nicht vorstellen könne, dass die neue Valls Regierung länger als ein paar Monate durchhalten werde.
Francois Hollande the Emperor has no clothes, but neither has Prince Manuel Valls, forced to put together a new government when the previous one didn't even survive the summer.	Francois Hollande ist der Kaiser ohne Kleider, aber Prinz Manuel Valls hat auch keine, sie sind gezwungen, eine neue Regierung zu bilden, wenn die alte nicht mal einen Sommer überlebt hat.
"And the new one won't survive the fall or the winter either," Miss Le Pen told supporters.	"Und die neue wird ebenfalls den Herbst oder Winter nicht überleben," sagte Fräulein Le Pen gegenüber Unterstützern.
She reiterated her party's call for a parliamentary dissolution, saying she was confident it could win early elections and stood ready to govern.	Sie wiederholte den Ruf ihrer Partei nach einer Auflösung des Parlaments und sagte, sie sei zuversichtlich, bei vorgezogenen Wahlen als Sieger hervorzugehen und sei zur Regierung bereit.
France's ruling party suffered a drubbing in March municipal elections and the far-right National Front came out on top in EU elections in May.	Die regierende Partei Frankreichs erlitt eine Niederlage bei den Kommunalwahlen im März und die rechtsgerichtete Nationale Front lag bei den EU-Wahlen im Mai vorn.
A poll in Sunday's Journal du Dimanche found 76 per cent of French believe the Socialist Party risks breaking up into several rival factions before the end of Mr Hollande's presidential term in 2017.	Eine Umfrage in der Sonntagszeitung Journal du Dimanche ergab, dass 76 Prozent der Franzosen der Meinung sind, dass die Sozialistische Partei der Gefahr ausgesetzt ist, vor dem Ende der Amtszeit Hollandes 2017 in mehrere rivalisierende Fraktionen zu zerfallen.
Pascal Perrineau, a political scientist at Sciences Po university, warned the French would fast lose patience unless the new Socialist government succeeds in improving the economy and record unemployment.	Pascal Perrineau, ein Politikwissenschaftler an der Sciences Po Universität, warnte davor, dass die Franzosen schnell die Geduld verlieren würde, wenn die neue sozialistische Regierung keine Verbesserung der Wirtschaft und der Rekordarbeitslosenzahlen erziele.
"It has a small window of opportunity, but public opinion needs to quickly feel things are changing," he warned.	"Es gibt ein kleines Fenster für Möglichkeiten, aber die öffentliche Meinung muss schnell fühlen, dass sich die Dinge ändern," warnte er.
Otherwise, the situation could further degenerate.	Ansonsten könne sich die Situation weiter verschlechtern.
Norwegian Cruise nears $3 billion Prestige Cruises deal	Norwegian Cruise kurz vor einen Deal mit Prestige Cruises von 3 Mrd $
Norwegian Cruise Line Holdings Ltd NCHL.O, the world's third largest cruise operator, is in advanced talks to acquire peer Prestige Cruises International Inc for around $3 billion, according to people familiar with the matter.	Norwegian Cruise Line Holdings Ltd NCHL.O, der drittgrößte Kreuzfahranbieter der Welt, führt laut Kennern der Branche fortgeschrittene Verhandlungen zum Erwerb des Konkurrenten Prestige Cruises International Inc für etwa 3 Milliarden $.
A deal would give Norwegian Cruise, a company with a market value of $6.8 billion, access to Prestige Cruises' luxury cruise ships and affluent clientele as it competes with bigger rivals Royal Caribbean Cruises Ltd (RCL.N) and Carnival Corp (CCL.N).	Ein Deal würde Norwegian Cruise, einem Unternehmen mit einem Marktwert von 6,8 Milliarden $, Zugang zu den Luxuskreuzfahrtschiffen von Prestige Cruises sowie zu dessen wohlhabender Kundschaft geben, während es mit größeren Rivalen wie Royal Caribbean Cruises Ltd (RCL.N) und Carnival Corp (CCL.N) im Wettbewerb steht.
An agreement may be announced as early as this week, the sources said on Sunday, cautioning that the talks could still fall apart.	Eine Einigung könnte bereits in dieser Woche verkündet werden, sagten die Quellen am Sonntag und warnten, dass die Gespräche aber auch ergebnislos enden könnten.
The owner of Prestige Cruises, private equity firm Apollo Global Management LLC (APO.N), also owns a 20 percent stake in Norwegian Cruise.	Der Eigentümer von Prestige Cruises, die Private-Equity-Gesellschaft Apollo Global Management LLC (APO.N) besitzt auch einen Anteil von 20 Prozent an Norwegian Cruise.
The sources asked not to be identified because the negotiations are not public.	Die Quellen baten darum, anonym bleiben zu können, da die Verhandlungen nicht öffentlich seien.
Norwegian Cruise and Prestige Cruises representatives did not respond to requests for comment, while an Apollo spokesman declined to comment.	Vertreter von Norwegian Cruise und Prestige Cruises antworteten nicht auf Bitten um Kommentare, während ein Sprecher für Apollo einen Kommentar ablehnte.
Miami-based Norwegian Cruise operates 13 cruise ships in routes spanning North America, the Mediterranean, the Baltic, Central America and the Caribbean.	Das in Miami beheimatete Unternehmen Norwegian Cruise betreibt 13 Kreuzfahrtschiffe auf Routen zwischen Nordamerika, dem Mittelmeer, der Ostsee, Mittelamerika und der Karibik.
It had revenues of $2.57 billion in 2013, up 13 percent from 2012.	Seine Einnahmen lagen 2013 bei 2,57 Milliarden $, ein Anstieg von 13 Prozent im Vergleich zu 2012.
Prestige Cruises, also based in Miami, operates under the Oceania and Regent brands, which together have eight cruise ships traveling to Scandinavia, Russia, the Mediterranean, North America, Asia, Africa and South America.	Prestige Cruises, ebenfalls in Miami angesiedelt, agiert unter den Markennamen Oceania und Regent, die gemeinsam acht Kreuzfahrschiffe auf Routen nach Skandinavien, Russland, dem Mittelmeer, Nordamerika, Asien, Afrika und Südamerika betreiben.
It posted revenues of $1.2 billion in 2013, up 6 percent from the year earlier.	Es meldete Einnahmen für 2013 von 1,2 Milliarden $, ein Anstieg von 6 Prozent im Vergleich zum Vorjahr.
The $29 billion cruise industry is expected to benefit in the coming years from the rise of the middle class in emerging economies such as China and India.	Die Kreuzfahrtbranche liegt insgesamt bei etwa 29 Milliarden $ und in den nächsten Jahren wird für sie aufgrund der Stärkung der Mittelklasse in Schwellenländern wie China und Indien erwartet.
Companies are racing to position themselves as the cruise operators of choice for these new customers.	Die Unternehmen versuchen sich für diese neuen Kunden als die beste Wahl bei den Kreuzfahrtanbietern zu positionieren.
Prestige Cruises registered with U.S. regulators for an initial public offering in January 2014.	Prestige Cruises beantragte bei den US-Regulierungsbehörden im Januar 2014 den Börsengang.
Apollo has been the company's majority shareholder following an $850 million deal in 2007.	Apollo ist der Mehrheitsaktionär bei dem Unternehmen seit einem 850 Millionen $ Deal 2007.
Norwegian Cruise was created in its current form in 2000 through a merger with a cruise operator owned by Genting Bhd (GENT.KL), the leisure and casino conglomerate controlled by Malaysian billionaire Lim Kok Thay.	Norwegian Cruise entstand in seiner derzeitigen Form im Jahre 2000 durch eine Fusion mit einem Kreuzfahrtanbieter im Besitz von Genting Bhd (GENT.KL), einem Freizeit- und Kasinomischkonzern unter der Kontrolle des malaysischen Milliardärs Lim Kok Thay.
Apollo made a $1 billion investment in Norwegian Cruise in 2008.	Apollo investierte 2008 1 Milliarde $ in Norwegian Cruise.
Norwegian Cruise went public in January 2013.	Norwegian Cruise ging im Januar 2013 an die Börse.
Genting had a 28 percent stake, Apollo had a 20 percent stake and private equity firm TPG Capital LP had an 8 percent stake in the company as of the end of June, according to a regulatory filing.	Genting hielt Ende Juni laut Zulassungsbehörden 28 Prozent der Anteile, Apollo 20 Prozent der Anteile und die Private-Equity-Gesellschaft TPG Capital LP einen Anteil von 8 Prozent an dem Unternehmen.
Carnival, Royal Caribbean Cruises and Norwegian Cruise together account for 82 percent of the North American cruise passenger berth capacity, according to Prestige Cruises' initial public offering registration document.	Carnival, Royal Caribbean Cruises und Norwegian Cruise verfügen gemeinsam laut der der ursprünglichen Antragsdokumente für den Börsengang von Prestige Cruises über 82 Prozent der Passagierkapazitäten bei amerikanischen Kreuzfahrtschiffen.
Hong Kong pro-democracy activists heckle China official day after vote ruling	Pro-Hongkong-Aktivisten verurteilen China am Tag nach der Wahlentscheidung.
A group of Beijing loyalists stood nearby waving China's flag.	Eine pekingtreue Gruppe schwenkte in der Nähe die chinesische Flagge.
The NPC Standing Committee on Sunday endorsed a framework to let only two or three candidates run in Hong Kong's 2017 leadership vote.	Der ständige Ausschuss des Nationalen Volkskongresses verabschiedete am Sonntag ein Rahmengesetz, das lediglich zwei oder drei Kandidaten für die Führungswahl in Hongkong im Jahre 2017 zulässt.
All candidates must first obtain majority backing from a nominating committee likely to be stacked with Beijing loyalists.	Alle Kandidaten müssen zunächst die mehrheitliche Unterstützung eines Nominierungskomitees erzielen, das voraussichtlich mit pekingtreuen Mitgliedern besetzt ist.
The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with "Occupy Central" protests.	Durch diese Entscheidung wird es für oppositionelle Demokraten fast unmöglich, zur Wahl zugelassen zu werden und veranlasste Pro-Demokratie-Aktivisten dazu, ihre Drohung wahrzumachen und mit "Occupy Central"-Protesten den Finanzplatz Hongkong lahmzulegen.
Political reform has been a major source of tension in Hong Kong, with China party leaders fearful of calls for democracy spreading to other cities.	Politische Reformen sind seit langem ein umstrittenes Thema in Hongkong; und die Parteiführung Chinas befürchtet, dass die Rufe nach Demokratie sich auf andere Städte ausweiten.
Following the publication by Beijing of a white paper outlining China's authority over Hong Kong in June, democracy activists held an unofficial referendum on voting in the special administrative region, and hundreds of thousands marched to the city's business district and staged a sit-in.	Nach der Veröffentlichung eines Pekinger Weißbuches, in dem im Juni die Vorherrschaft Chinas über Hongkong dargelegt wurde, hielten Demokratieaktivisten ein inoffizielles Referendum zum Wahlverfahren in der Sonderverwaltungsregion ab, bei dem Hunderttausende in den Geschäftsbezirk der Stadt marschierten und dort ein Sit-in organisierten.
Li's briefing is being organized by the Hong Kong government and China's Liaison Office in Hong Kong.	Lis Befragung wird von der Regierung in Hongkong und dem chinesischen Verbindungsbüro in Hongkong organisiert.
The vice chairman of the Standing Committee's Legislative Affairs Commission, Zhang Rongshun, and the Deputy Director of the State Council's Hong Kong and Macau Affairs Office, Feng Wei, were also due to speak in a series of briefings throughout the day.	Der stellvertretende Vorsitzende der Rechtskommission des ständigen Ausschusses, Zhang Rongshun sowie der Vizedirektor des Büros für Angelegenheiten Hongkongs und Macaus des Staatsrates, Feng Wei, sollten im Verlauf des Tages befragt werden.
Student activists said they would gather outside of the Hong Kong chief executive's office in the afternoon.	Studentische Aktivisten kündigten an, sich am Nachmittag vor dem Büro der Führungsspitze in Hongkong zu versammeln.
Britain made no mention of democracy for Hong Kong until the dying days of about 150 years of colonial rule.	Großbritannien sah bis zur Endphase der 150-jährigen Kolonialregierung in Hongkong keinerlei demokratische Elemente vor.
Putin demands Kiev open 'statehood' talks with eastern Ukraine	Putin verlangt von Kiew die Aufnahme von "Staatlichkeitsgesprächen" mit der Ostukraine
Russian President Vladimir Putin demanded Sunday that the Ukrainian government cease battling separatists in the country's east and immediately begin negotiations on the breakaway region's "statehood," according to Russian news accounts of his remarks.	Der russische Präsident Wladimir Putin verlangte russischen Medienberichten zufolge am Sonntag, dass die ukrainische Regierung die Kämpfe gegen die Separatisten im Osten des Landes einstellt und unmittelbar mit Verhandlungen zur "Staatlichkeit" der abtrünnigen Region aufnimmt.
