Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Norwegian Cruise Line Holdings Ltd NCHL.O, der drittgrößte Kreuzfahranbieter der Welt, führt laut Kennern der Branche fortgeschrittene Verhandlungen zum Erwerb des Konkurrenten Prestige Cruises International Inc für etwa 3 Milliarden $.	Norwegian Cruise Line Holdings Ltd NCHL.O, the world's third largest cruise operator, is in advanced talks to acquire peer Prestige Cruises International Inc for around $3 billion, according to people familiar with the matter.
Ein Deal würde Norwegian Cruise, einem Unternehmen mit einem Marktwert von 6,8 Milliarden $, Zugang zu den Luxuskreuzfahrtschiffen von Prestige Cruises sowie zu dessen wohlhabender Kundschaft geben, während es mit größeren Rivalen wie Royal Caribbean Cruises Ltd (RCL.N) und Carnival Corp (CCL.N) im Wettbewerb steht.	A deal would give Norwegian Cruise, a company with a market value of $6.8 billion, access to Prestige Cruises' luxury cruise ships and affluent clientele as it competes with bigger rivals Royal Caribbean Cruises Ltd (RCL.N) and Carnival Corp (CCL.N).
Eine Einigung könnte bereits in dieser Woche verkündet werden, sagten die Quellen am Sonntag und warnten, dass die Gespräche aber auch ergebnislos enden könnten.	An agreement may be announced as early as this week, the sources said on Sunday, cautioning that the talks could still fall apart.
Der Eigentümer von Prestige Cruises, die Private-Equity-Gesellschaft Apollo Global Management LLC (APO.N) besitzt auch einen Anteil von 20 Prozent an Norwegian Cruise.	The owner of Prestige Cruises, private equity firm Apollo Global Management LLC (APO.N), also owns a 20 percent stake in Norwegian Cruise.
Die Quellen baten darum, anonym bleiben zu können, da die Verhandlungen nicht öffentlich seien.	The sources asked not to be identified because the negotiations are not public.
Vertreter von Norwegian Cruise und Prestige Cruises antworteten nicht auf Bitten um Kommentare, während ein Sprecher für Apollo einen Kommentar ablehnte.	Norwegian Cruise and Prestige Cruises representatives did not respond to requests for comment, while an Apollo spokesman declined to comment.
Das in Miami beheimatete Unternehmen Norwegian Cruise betreibt 13 Kreuzfahrtschiffe auf Routen zwischen Nordamerika, dem Mittelmeer, der Ostsee, Mittelamerika und der Karibik.	Miami-based Norwegian Cruise operates 13 cruise ships in routes spanning North America, the Mediterranean, the Baltic, Central America and the Caribbean.
Seine Einnahmen lagen 2013 bei 2,57 Milliarden $, ein Anstieg von 13 Prozent im Vergleich zu 2012.	It had revenues of $2.57 billion in 2013, up 13 percent from 2012.
Prestige Cruises, ebenfalls in Miami angesiedelt, agiert unter den Markennamen Oceania und Regent, die gemeinsam acht Kreuzfahrschiffe auf Routen nach Skandinavien, Russland, dem Mittelmeer, Nordamerika, Asien, Afrika und Südamerika betreiben.	Prestige Cruises, also based in Miami, operates under the Oceania and Regent brands, which together have eight cruise ships traveling to Scandinavia, Russia, the Mediterranean, North America, Asia, Africa and South America.
Es meldete Einnahmen für 2013 von 1,2 Milliarden $, ein Anstieg von 6 Prozent im Vergleich zum Vorjahr.	It posted revenues of $1.2 billion in 2013, up 6 percent from the year earlier.
Die Kreuzfahrtbranche liegt insgesamt bei etwa 29 Milliarden $ und in den nächsten Jahren wird für sie aufgrund der Stärkung der Mittelklasse in Schwellenländern wie China und Indien erwartet.	The $29 billion cruise industry is expected to benefit in the coming years from the rise of the middle class in emerging economies such as China and India.
Die Unternehmen versuchen sich für diese neuen Kunden als die beste Wahl bei den Kreuzfahrtanbietern zu positionieren.	Companies are racing to position themselves as the cruise operators of choice for these new customers.
Prestige Cruises beantragte bei den US-Regulierungsbehörden im Januar 2014 den Börsengang.	Prestige Cruises registered with U.S. regulators for an initial public offering in January 2014.
Apollo ist der Mehrheitsaktionär bei dem Unternehmen seit einem 850 Millionen $ Deal 2007.	Apollo has been the company's majority shareholder following an $850 million deal in 2007.
Norwegian Cruise entstand in seiner derzeitigen Form im Jahre 2000 durch eine Fusion mit einem Kreuzfahrtanbieter im Besitz von Genting Bhd (GENT.KL), einem Freizeit- und Kasinomischkonzern unter der Kontrolle des malaysischen Milliardärs Lim Kok Thay.	Norwegian Cruise was created in its current form in 2000 through a merger with a cruise operator owned by Genting Bhd (GENT.KL), the leisure and casino conglomerate controlled by Malaysian billionaire Lim Kok Thay.
Apollo investierte 2008 1 Milliarde $ in Norwegian Cruise.	Apollo made a $1 billion investment in Norwegian Cruise in 2008.
Norwegian Cruise ging im Januar 2013 an die Börse.	Norwegian Cruise went public in January 2013.
Genting hielt Ende Juni laut Zulassungsbehörden 28 Prozent der Anteile, Apollo 20 Prozent der Anteile und die Private-Equity-Gesellschaft TPG Capital LP einen Anteil von 8 Prozent an dem Unternehmen.	Genting had a 28 percent stake, Apollo had a 20 percent stake and private equity firm TPG Capital LP had an 8 percent stake in the company as of the end of June, according to a regulatory filing.
Carnival, Royal Caribbean Cruises und Norwegian Cruise verfügen gemeinsam laut der der ursprünglichen Antragsdokumente für den Börsengang von Prestige Cruises über 82 Prozent der Passagierkapazitäten bei amerikanischen Kreuzfahrtschiffen.	Carnival, Royal Caribbean Cruises and Norwegian Cruise together account for 82 percent of the North American cruise passenger berth capacity, according to Prestige Cruises' initial public offering registration document.
Pro-Hongkong-Aktivisten verurteilen China am Tag nach der Wahlentscheidung.	Hong Kong pro-democracy activists heckle China official day after vote ruling
Eine pekingtreue Gruppe schwenkte in der Nähe die chinesische Flagge.	A group of Beijing loyalists stood nearby waving China's flag.
Der ständige Ausschuss des Nationalen Volkskongresses verabschiedete am Sonntag ein Rahmengesetz, das lediglich zwei oder drei Kandidaten für die Führungswahl in Hongkong im Jahre 2017 zulässt.	The NPC Standing Committee on Sunday endorsed a framework to let only two or three candidates run in Hong Kong's 2017 leadership vote.
Alle Kandidaten müssen zunächst die mehrheitliche Unterstützung eines Nominierungskomitees erzielen, das voraussichtlich mit pekingtreuen Mitgliedern besetzt ist.	All candidates must first obtain majority backing from a nominating committee likely to be stacked with Beijing loyalists.
Durch diese Entscheidung wird es für oppositionelle Demokraten fast unmöglich, zur Wahl zugelassen zu werden und veranlasste Pro-Demokratie-Aktivisten dazu, ihre Drohung wahrzumachen und mit "Occupy Central"-Protesten den Finanzplatz Hongkong lahmzulegen.	The decision makes it almost impossible for opposition democrats to get on the ballot prompted pro-democracy activists to renew their vow to bring Hong Kong's financial hub to a halt with "Occupy Central" protests.
Politische Reformen sind seit langem ein umstrittenes Thema in Hongkong; und die Parteiführung Chinas befürchtet, dass die Rufe nach Demokratie sich auf andere Städte ausweiten.	Political reform has been a major source of tension in Hong Kong, with China party leaders fearful of calls for democracy spreading to other cities.
Nach der Veröffentlichung eines Pekinger Weißbuches, in dem im Juni die Vorherrschaft Chinas über Hongkong dargelegt wurde, hielten Demokratieaktivisten ein inoffizielles Referendum zum Wahlverfahren in der Sonderverwaltungsregion ab, bei dem Hunderttausende in den Geschäftsbezirk der Stadt marschierten und dort ein Sit-in organisierten.	Following the publication by Beijing of a white paper outlining China's authority over Hong Kong in June, democracy activists held an unofficial referendum on voting in the special administrative region, and hundreds of thousands marched to the city's business district and staged a sit-in.
Lis Befragung wird von der Regierung in Hongkong und dem chinesischen Verbindungsbüro in Hongkong organisiert.	Li's briefing is being organized by the Hong Kong government and China's Liaison Office in Hong Kong.
Der stellvertretende Vorsitzende der Rechtskommission des ständigen Ausschusses, Zhang Rongshun sowie der Vizedirektor des Büros für Angelegenheiten Hongkongs und Macaus des Staatsrates, Feng Wei, sollten im Verlauf des Tages befragt werden.	The vice chairman of the Standing Committee's Legislative Affairs Commission, Zhang Rongshun, and the Deputy Director of the State Council's Hong Kong and Macau Affairs Office, Feng Wei, were also due to speak in a series of briefings throughout the day.
Studentische Aktivisten kündigten an, sich am Nachmittag vor dem Büro der Führungsspitze in Hongkong zu versammeln.	Student activists said they would gather outside of the Hong Kong chief executive's office in the afternoon.
Großbritannien sah bis zur Endphase der 150-jährigen Kolonialregierung in Hongkong keinerlei demokratische Elemente vor.	Britain made no mention of democracy for Hong Kong until the dying days of about 150 years of colonial rule.
Putin verlangt von Kiew die Aufnahme von "Staatlichkeitsgesprächen" mit der Ostukraine	Putin demands Kiev open 'statehood' talks with eastern Ukraine
Der russische Präsident Wladimir Putin verlangte russischen Medienberichten zufolge am Sonntag, dass die ukrainische Regierung die Kämpfe gegen die Separatisten im Osten des Landes einstellt und unmittelbar mit Verhandlungen zur "Staatlichkeit" der abtrünnigen Region aufnimmt.	Russian President Vladimir Putin demanded Sunday that the Ukrainian government cease battling separatists in the country's east and immediately begin negotiations on the breakaway region's "statehood," according to Russian news accounts of his remarks.
Sein Sprecher Dimitri Peskow stellte später klar, dass Putin damit nicht gemeint habe, dass das unter der Kontrolle der Separatisten stehende Gebiet der Ostukraine ein Teil Russlands werde, sondern dass sein Status gegenüber der Ukraine neu definiert werden müsse, um der russischsprachigen Region die Macht zur Vertretung seiner Rechte und Interessen zu geben.	His spokesman, Dmitry Peskov, later clarified that Putin didn't mean to imply that the eastern Ukrainian territory under separatist control would become part of Russia, but that its status within Ukraine had to be revised to give the Russian-speaking region the power to protect its rights and interests.
Putins Aufruf an die Kiewer Regierung zu Verhandlungen auf Augenhöhe mit den pro-russischen Aufständischen passt jedoch zu der von ihm seit Beginn der Ausschreitungen vor fünf Monaten anscheinend verfolgten Strategie: Hilfe für die Separatisten beim Einnehmen von Gebieten und Druck auf die ukrainische Regierung, um der neu proklamierten Region Novorossija faktische Unabhängigkeit für eine Allianz mit Russland statt mit dem Westen zu ermöglichen.	But Putin's call upon the Kiev government to negotiate with the pro-Russia insurgents as equals corresponded with the apparent strategy he has followed since the violence began five months ago: Help the separatists take territory and force the Ukrainian government to grant the newly proclaimed Novorossiya region virtual independence to align with Russia instead of the West.
In einem Interview mit dem staatlichen Fernsehsender Kanal Eins verurteilte Putin die ukrainische Militärkampagne zur Rückeroberung der von Separatisten gehaltenen Gebiete in der östlichen Regionen Donezk und Luhansk, die im März und April eingenommen wurden, nachdem Moskau die ukrainische Halbinsel Krim am 18. März annektiert hatte.	In an interview with state-run Channel One television, Putin denounced the Ukrainian military campaign to recover separatist-held territory in the eastern Donetsk and Luhansk regions that were seized in March and April, after Moscow annexed Ukraine's Crimean peninsula on March 18.
Der Kreml und die Separatisten haben in letzter Zeit das eingenommene Gebiet als "Novorossija" oder "Neurussland" bezeichnet, ein Begriff, der an die vorrevolutionäre Glanzzeit des russischen Imperiums erinnert.	The Kremlin and the separatists have lately branded the seized territory "Novorossiya," or "New Russia," a term that harkens to pre-revolutionary glory days of the Russian empire.
Putin wies darauf hin, dass all diejenigen, die im Zuge der Kampagnen ukrainischer Politiker für die Wahlen am 26. Okt. und während Regierungsgruppen zivile Gemeinden in den von Separatisten gehaltenen Gebieten angreifen auf baldige Friedensgespräche hoffen "in ihren Illusionen gefangen" sind, berichtete Itar-Tass.	Putin said that anyone who believed peace talks are in the offing as Ukrainian politicians launch campaigns for an Oct. 26 parliamentary election and while government troops are attacking civilian communities in separatist-held regions is "a prisoner to illusions," Itar-Tass reported.
"Wir müssen umgehend ausführliche Gespräche aufnehmen, nicht nur zu technischen Fragen, sondern auch zur politischen Organisation der Gesellschaft und dem Staatsstatus der Südostukraine, um die Interessen der dort lebenden Menschen zu wahren," sagte er.	"We must immediately commence substantive talks and not only on technical issues, but also on the political organization of society and the statehood status of southeast Ukraine in order to serve the interests of people living there," he said.
Peskow sagte, dass Putins Verweis auf die Staatlichkeit im Kontext mit der größeren Autonomie gesehen werden müsse, die seit Monaten von der Kiewer Führung diskutiert wird, um Befürchtungen in russischsprachigen Gebieten zu zerstreuen, dass deren kulturelle und sprachliche Rechte gefährdet seien.	Peskov said Putin's reference to statehood was meant in the context of the broader autonomy that has been discussed for months with the Kiev leadership as it struggles to allay fears in the Russian-speaking areas that their cultural and linguistic rights are in danger.
Nur die ukrainische Regierung kann den östlichen Gebieten die notwendige Autonomie erteilen, sagte Peskow.	Only the Ukrainian government can grant the eastern regions the necessary autonomy, Peskov said.
Es geht hier nicht um Verhandlungen zwischen der Ukraine und Russland, sagte Peskow, "weil es nicht um einen Konflikt zwischen Russland und der Ukraine geht, sondern um einen internen Konflikt in der Ukraine."	It's not a matter to be negotiated between Ukraine and Russia, Peskov said, "because it's not a conflict between Russia and Ukraine, but an internal Ukrainian conflict."
Die Klarstellung des Kremlsprechers zur Korrektur der "Fehlinterpretation" von Putins Bemerkungen unterstrich den Führungsanspruch Russlands beim Umgang mit der separatistischen Rebellion im Osten im Gegensatz zu der direkten Annektion der Krim, auf der die Mehrheit der 2 Millionen Bewohner ethnische Russen sind.	The Kremlin spokesman's intercession to correct the "misinterpretation" of Putin's remarks underscored the Russian leadership's approach to dealing with the separatist rebellion in the east differently from its outright seizure of Crimea, where the majority of the 2 million population is ethnic Russian.
Moskau hätte weit größere Schwierigkeiten, die Regionen Donezk und Luhansk in der Ostukraine zu annektieren, da die meisten der 6,5 Millionen Einwohner keine Russen sind und Umfragen aus der Zeit vor dem Konflikt eine breite Mehrheit für den Verbleib in der Ukraine ergaben.	Moscow would have a much more difficult fight to annex even the Donetsk and Luhansk regions of eastern Ukraine, as most of the 6.5 million residents are not Russian and pre-conflict polls showed broad support for staying within Ukraine.
Die Autonomie, die von russischen Diplomaten auf internationalen Foren angesprochen wurde, würde den regionalen Regierungen in der Ukraine Vollmacht geben, eigene Handelsabkommen und Außenbeziehungen zu verhandeln, und so dem Kreml de facto die Kontrolle über ein Gebiet geben, das das russische Staatsgebiet mit der Krim verbindet.	The autonomy that Russian diplomats have discussed in international forums would grant regional governments in Ukraine the authority to determine their own trade agreements and foreign relations, effectively handing the Kremlin de facto control over territory that would link the Russian mainland with Crimea.
Die vor fünf Monaten annektierte Halbinsel im Schwarzen Meer ist der Heimathafen für den Großteil der russischen Marine sowie ein wichtiger Handelshafen und historische Küstenregion.	The Black Sea peninsula annexed five months ago is home to Russia's main naval fleet as well as commercial maritime facilities and historic coastal resorts.
Die Regionen zwischen dem Rostowgebiet in Russland und der Krim ist darüber hinaus reich an Minen, Fabriken und Gießereien, die wichtige Komponenten für das russische Militär herstellen.	The regions between Russia's Rostov area and Crimea are also home to mines, factories and foundries that produce vital components for the Russian military.
Der ukrainische Präsident Petro Poroshenko schlug bei seiner Rede zur Amtseinführung am 7. Juni vor, dass die ukrainische Gesetzgebung - nach Neuwahlen - Zusätze zur Verfassung bedenken solle, mit denen den jeweiligen Gebieten eine größere Kontrolle über ihre Finanzen und den Status der Sprachen eingeräumt wird.	Ukrainian President Petro Poroshenko proposed during his inauguration speech on June 7 that Ukrainian lawmakers - after new elections -- weigh constitutional amendments to give more control to the disparate regions over their finances and the status of languages.
Aber seine Vorstellung von Autonomie scheint in scharfem Gegensatz zu denen des Kreml und der separatistischen Rebellen zu stehen, deren Bewaffnung und Aufstachelung Moskau vorgeworfen wird.	But his vision of autonomy appears to differ sharply from that of the Kremlin and the separatist rebels Moscow is accused of arming and instigating.
Putins letzte Aufforderung an Kiew, mit den Separatistenführern auf Augenhöhe zu verhandeln, folgte nach einem weiteren Vordringen der Rebellen in der vergangenen Woche, nachdem russische Truppen und Panzer über die vorher friedliche Region entlang dem Asowschen Meer in die Ostukraine eingedrungen sind.	Putin's latest call on Kiev to deal with the separatist leaders as equals followed new advances by the rebels last week after Russian troops and tanks entered eastern Ukraine from a previously peaceful area along the Sea of Azov.
Die von Russland unterstützten Separatisten übernahmen im Handstreich, der laut Befürchtungen ukrainischer Sicherheitsbeamter der erste Schritt einer Kampagne zur Übernahme der strategischen Küstenregion bis zur Krim ist, die Kontrolle von Nowoasowsk.	The Russian-backed separatists took control of the town of Novoazovsk in a drive that Ukrainian security officials say they fear is the opening of a campaign to seize the strategic coastal territory all the way to Crimea.
Aus diesem Grund sind massive zivile und militärische Vorbereitungen angelaufen, um Mariupol, einen Stahlindustriehafen mit 500.000 Einwohnern zu befestigen, der zwischen Nowoasowsk und dem schmalen Zugang zur Halbinsel Krim liegt.	That has spurred a massive civilian and military effort to fortify Mariupol, a steelmaking port of 500,000 that lies between Novoazovsk and the narrow gateway into the Crimean peninsula.
Poroshenko sprach am Samstag bei einem Treffen der EU-Führung in Brüssel und bat dringend um Taten, um eine weitere russische Aggression gegen die Ukraine zu verhindern, eine frühere Sowjetrepublik, die seit 23 Jahren unabhängig ist.	Poroshenko on Saturday addressed a meeting of European Union leaders in Brussels to urge action to prevent further Russian aggression against Ukraine, a former Soviet republic that has been independent for 23 years.
"Wir stehen kurz vor einem Punkt, an dem es kein Zurück mehr gibt," warnte Poroshenko.	"We are close to the point of no return," Poroshenko warned.
Tausende fremder Truppen und hunderte fremder Panzer befinden sich nun auf dem Territorium der Ukraine.	Thousands of foreign troops and hundreds of foreign tanks are now on the territory of Ukraine.
Der EU-Gipfel beschloss keine konkreten Aktionen, die Führung verlangte den Entwurf weiterer Sanktionen gegen Russland, die bei einer unspezifizierten Eskalation der Ukrainekrise in Kraft treten sollen.	The EU summit took no definitive action; the leaders called for drafting more punishing sanctions on Russia to be imposed in the event of an unspecified escalation of the Ukraine crisis.
Ukrainische Soldaten mussten sich von ihren Positionen in Ilowajsk zurückziehen, nachdem zwei russische Panzerkolonnen und 1.000 Soldaten letzte Woche in die Donezkregion eindrangen, um die belagerten Separatisten zu unterstützen, sagte Oberst Andrij Lysenko, Sprecher des Ukrainischen Nationalen Sicherheits- und Verteidigungsrates Reporten am Samstag in Kiew.	Ukrainian soldiers had to withdraw from their positions in Ilovaysk after two columns of Russian armor and 1,000 troops last week moved into the Donetsk region to bolster the beleaguered separatists, Col. Andriy Lysenko, spokesman for the Ukrainian National Security and Defense Council, told reporters in Kiev on Saturday.
Die ersten vermutlich 63 ukrainischen Soldaten, die durch den russischen Einfall in Ilowajsk eingeschlossen wurden, wurden am Sonntag gegen 10 russische Fallschirmjäger ausgetauscht, die vor einer Woche auf ukrainischem Gebiet gefangen genommen worden waren, teilte Lysenko am Sonntag mit.	The first of a reported 63 Ukrainian soldiers who were trapped in Ilovaysk by the Russian incursion were swapped Sunday for 10 Russian paratroopers captured inside Ukrainian territory a week ago, Lysenko said Sunday.
Nacktfotoskandal um australische Promis und Gabi Grecko	Nude photo scandal embroils Australian celebrities and Gabi Grecko
Geoffrey Edelsten machte keinen Hehl um seinen Ärger über Hacker, die vermutlich Nacktbilder seiner Verlobten Gabi Grecko und ein Who is Who der A-Promis aus Hollywood gestohlen haben.	Geoffrey Edelsten has vented his disgust at hackers who may have stolen nude images of fiancee Gabi Grecko and a who's who of Hollywood A-listers.
Die Filmstadt ist in Aufregung, nachdem eine Serie eindeutiger Fotos einer nackten Jennifer Lawrence in einem Hackingskandal um Promis im Internet aufgetaucht sind.	Tinseltown is reeling after a series of explicit photos showing a nude Jennifer Lawrence hit the internet in a major celebrity hacking scandal.
Der dafür verantwortliche Hacker verfügt wohl über 60 Nacktfotos von Lawrence, Star aus "die Tribute von Panem" und von Superstars, darunter den Models Kate Upton und Cara Delevingne, den Sängerinnen Rihanna, Ariana Grande und Lea Michelle sowie der Schauspielerin Kirsten Dunst.	The hacker responsible is said to have 60 nude photos of Hunger Games star Lawrence and superstars including models Kate Upton and Cara Delevingne, singers Rihanna, Ariana Grande and Lea Michelle and actors Kirsten Dunst.
Von den australischen Schauspielerinnen Teresa Palmer, Emily Browning, Yvonne Strahovski, und Grecko aus Melbourne wurden angeblich auch private Fotos aufgrund einer iCloud-Lücke publik.	Australian actors Teresa Palmer, Emily Browning, Yvonne Strahovski, and Melbourne-based Grecko also had personal pictures allegedly retrieved due to an iCloud leak.
Auf der Liste stehen 101 Promis.	There are 101 celebrity names on the list.
Edelsten, der sich letzten Monat mit Grecko verlobt hatte, sagte gegenüber Confidential: "Es ist widerlich."	Edelsten, who proposed to Grecko last month, told Confidential: "It's disgusting".
Alle privaten Briefe und Bilder sollten privat bleiben.	All private correspondence and images should remain private.
Es ist eine Schande, dass private Informationen gestohlen und an andere weitergegeben werden können.	It's disgraceful that personal information can be stolen and dispersed to others.
Grecko, zur Zeit in New York, sagte Berichten zufolge einer Nachrichtenwebseite, dass der Hack "schändlich" sei und dass die Betroffenen "sich verletzt" fühlten.	Grecko, who is in New York, reportedly told a news website the hacking was "shameful" and those targeted would "feel violated."
Der Hacker hat vermutlich 30 Bilder von Palmer mit ihrem Ex-Freund Scott Speedman, darunter zwei Aufnahmen, in denen sie oben ohne in einem Pool liegt.	The hacker is believed to have 30 images of Palmer with ex-boyfriend Scott Speedman, including two frames where she is lounging topless in a pool.
Zu den Filmwerken Palmers gehören "Liebe ist unbesiegbar" mit Liam Hemsworth.	Palmer's film credits include Love And Honor, opposite Liam Hemsworth.
Palmer, Chuck-Star Strahovski und die Schauspielerin Browning aus Sucker Punch standen gestern für Kommentare zu den gehackten Bildern nicht zur Verfügung.	Palmer, Chuck star Strahovski and Sucker Punch actress Browning yesterday had no comment on the hacked pictures.
Ein Vertreter Lawrence' sagte gegenüber TMZ: "Es ist eine abscheuliche Verletzung der Privatsphäre."	A representative for Lawrence told TMZ: "This is a flagrant violation of privacy."
Schauspieler Seth Rogen verurteilte den Hacker in seinem Tweet: "Gehackte Bilder aus einem Handy zu posten ist nichts anders als der Verkauf von Hehlerware."	Actor Seth Rogen lashed out at the hacker, tweeting: "Posting pics hacked from a cell phone is really no different than selling stolen merchandise."
Rein rechtlich gesehen sollte das Weiterverbreiten gestohlener Bilder nicht toleriert werden.	Just legally speaking, it shouldn't be tolerated to report stolen pics.
Radler, Jogger und Wanderer waren gestern beim 8. Radeln auf den Großen Feldberg dabei und haben damit den Verein "Hilfe für krebskranke Kinder" unterstützt.	Cyclists, joggers and walkers took part yesterday in the 8th Cycling Event on the Grosser Feldberg mountain, giving their support to 'Help for Children with Cancer'.
Die Tour, die für die einen eine Tortur war, stellte für die anderen ein leichtes Training dar.	The Tour was a hard grind for some, while others treated it as a light training session.
In einem waren sich jedoch alle einig: Es hat Spaß gemacht.	However, everyone agreed on one thing: It was a lot of fun.
Thomas Studanski dürfte vergangene Nacht gut geschlafen haben.	Thomas Studanski must have slept well last night.
Denn erstmals in seinem Leben ist der Chef des Oberurseler Brauhauses gestern mit dem Rad auf den Feldberg gefahren.	For the very first time in his life the head of the Oberursel Brewery took his bike up the Feldberg.
Für den guten Zweck.	And for a good cause.
Den kleinen Muskelkater kann er da leicht wegstecken, zumal ihm die Teilnahme am 8. Radeln auf den Großen Feldberg zugunsten des Vereins "Hilfe für krebskranke Kinder" (Frankfurt) auch persönlich eine wertvolle Erkenntnis gebracht habe.	He can put up with a little muscle stiffness, especially since his participation in the 8th Cycling Event on the Grosser Felberg was in aid of the 'Help for children with cancer' association, and gave him a valuable personal insight.
Eine tolle Sache.	A great thing.
"Ich weiß jetzt, dass ich das kann - prima!"	"I now know that I can do it - brilliant!"
Kleines Päuschen unterwegs in der Applauskurve?	You didn't happen to have a little break to milk the applause?
Nee, wenn ich einmal angehalten hätte, wär's aus gewesen...	No, if I'd stopped, I'd never have been able to carry on...
Wie Thomas Studanski, der für die CDU im Oberurseler Stadtparlament sitzt, quälten sich viele der 718 Teilnehmer gestern im Frühtau zu Berge und kamen der Erschöpfung nahe, aber glücklich auf dem Plateau an.	Like Thomas Studanski, a member for the CDU in the Oberursel town council, many of the 718 participants struggled in the early mountain dew, coming close to exhaustion, but arriving happily on top of the summit plateau.
Anderen dagegen fiel es leichter, die gut elf Kilometer lange Strecke zwischen Hohemark und Feldberg zu überwinden.	On the other hand, some others found it much easier to complete the full eleven kilometre route between Hohemark and Feldberg.
Norman Dießner zum Beispiel.	Norman Diessner, for example.
Der ganz in Rot auftretende Grünen-Politiker aus dem Kreistag - rotes Dress, rotes Bike - machte am Start noch etwas auf Understatement ("Jede Menge Profis, da ist Ankommen das Ziel!"), erwies sich dann aber am Berg doch als halber Profi und ging nach 45 Minuten ohne Atemnot durchs Ziel.	The Green Politician, wearing all red, from the municipal council - red clothes, red bike - looked to be taking it gently ("Quit some professionals here, so it's all about finishing!") - and then looked almost like a pro himself as he arrived at the end 45 minutes later without pausing for breath.
Auch er ist die Strecke in einem Rutsch durchgefahren, wie auch Nina Kuhn, Pressesprecherin der Stadt Oberursel, die sich gemeinsam mit Frank Grüneisen auf den Weg gemacht hatte.	He was another one who did it all in one go, as did Nina Kuhn, press spokesperson for the Oberursel Council, who did the route along side Frank Grüneisen.
Für die beiden Triathleten war das "Feldberg-Radeln" nicht unbedingt eine sportliche Herausforderung: "Hier geht es um Charity, da sind wir gerne mit dabei - eine Ausfahrt hätten wir heute ohnehin gemacht", so Kuhn.	For both the triathletes the "Feldberg Cycling Event" was not necessarily a sporting challenge: "This one is about charity, and that's why we're glad to be here - we'd have gone out riding anyway today," Kuhn said.
Unterwegs hatten sie Paul Wenzel aus Oberreifenberg getroffen.	Along the route they met up with Paul Wenzel from Oberreifenberg.
Der Junge (12) war am Morgen nach Oberursel hinuntergefahren, um gleich darauf wieder auf die Höhe zu strampeln.	The boy (12) had driven down to Oberusel in the morning, only to immediately go back up again.
Der Frankfurter Florian Zierz hatte sich am Morgen um 9 Uhr daheim in den Sattel geschwungen, "machte" den Feldberg zwei Mal, um dann mit Spaß nach Hause zu rollen.	Florian Zierz from Frankfurt got himself into the saddle at 9 am; he "did" the Feldberg twice, before then wheeling back home.
Spaß hatte auch "Fritten-Toni".	Another one who enjoyed himself was "Fritten-Toni".
Für den Chef des Oberurseler Kultkiosks gehören Radtouren über den Feldberg einfach dazu.	For the manager of the Oberursel cult kiosk, taking part in cycling events which go over the Feldberg is perfectly natural.
Er hatte mit seinem 6,5-Kilo-Rennrad 40 Minuten angepeilt.	He took just 40 minutes to do the route with his 6.5-kilo racing bike.
Ein verrücktes Ereignis.	A mad event.
Für diesen Zweck - da bin ich gerne dabei", meinte Andreas Balzke.	For this cause I'm very glad to be here," commented Andreas Balzke.
Der durchtrainierte Mainzer sagt von sich, dass er ein "ambitionierter Rennradler" ist.	The well-conditioned man from Mainz said he was an "ambitious racing cyclist."
Das muss er auch sein, denn er war mit dem "Fixie-Rad" unterwegs, das sind zwar auch Rennräder, aber ohne Schaltung...	And he must be, since he was riding a "Fixie-Bike" which is a bike without gears...
Dass es auch ohne Rad locker nach oben ging, bewiesen nicht nur die 20 Wanderer, die über die Weiße Mauer und den Fuchstanz zum Gipfel hinauf stiegen, sondern auch ein Jogger, der an einer Kordel einen Autoreifen mit Gewichten hinter sich herzog.	But it wasn't only cyclists who jaunted to the top - as was evidenced not only by the 20 walkers, who climbed up via the White Wall and the Fuchstanz, but also by a jogger who pulled behind him a tyre with weights attached to him by a rope.
Bergwacht-Arzt Professor Volker Lischke, der mit seinem Team, ausgerüstet mit Allrad-Bully und Quad, für Sicherheit sorgte, sagte: "Den kenn" ich aus Frankfurt, der trainiert für einen speziellen Schlittentrail, nur dass er den Schlitten halt selbst zieht". Der Mann ist also gewissermaßen sein eigener Schlittenhund.	Mountain Rescue doctor, Professor Volker Lischke, who was there with his team to provide safety, and who was equipped with a four-wheel Bully and Quad, said: "I know him from Frankfurt - he trains for a specialist sleigh trail - it's just that he pulls the sleigh himself." The man is, therefore, in a sense his own sleigh dog.
Die 718 Teilnehmer - und damit so viele wie noch nie - waren am Morgen in Gruppen auf die Strecke geschickt worden.	The 718 participants - which made them the greatest number ever - were sent off up the course in groups in the morning.
Die Wanderer zuerst um 9.30 Uhr.	The walkers started at 9.30 am.
Es folgten die ersten Radfahrer und Läufer um 10 Uhr.	Then it was the turn of the cyclists and runners, who began at 10 am.
Fünf Minuten später legten die ersten Mountainbiker los.	Five minutes later the first Mountain-bikers set off.
Bent Hansen, Vorsitzender des Vereins "Radeln auf den Großen Feldberg", gab die Startkommandos und wünschte den Teilnehmern einen schönen Ausflug.	Bent Hansen, Chairman of the Association 'Cycling on the Grosser Feldberg' gave the starting orders and wished those taking part an enjoyable trip.
