Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
At the 29th minute, Wang Dong led to scoring one ball. At the 39th minute, with assistance by Fernando, the new support Kardec won the first score of the Chinese Football Association Super League. At the 81st minute, Guoan regained a score.	第29分钟，王栋操刀点球破门，第39分钟，新援卡尔德克在费尔南多助攻下收获中超首球，第81分钟，国安扳回一球。
When the match went on for 10 minutes, Lifan made continued hit and gained a chance for corner. Fernando made small-angle volley and was fended off the base line by Guoan.	比赛进行10分钟后，力帆连续冲击中连获角球机会，费尔南多小角度抽射被国安防线挡出底线。
At the 15th minute, Zhang Xizhe flip through in straight line of the midfield. Ilmaz has been straight for the penalty area and the defensive Liu Yu grab the first leg of the ball and made a fight.	第15分钟，张稀哲中场直线挑传，伊尔马兹已直冲禁区，单兵防守的刘宇抢先出脚将球破坏。
One minute later, Pu Cheng crossed on the left wing and Yu Dabao strafed the unkicked-out part of the mid-way in the penalty area. Lifang goalkeeper Deng Xiaofang confiscated the goal.	1分钟后朴成在左路前插传中，于大宝禁区中路扫射未踢正部位，力帆门将邓小飞将球没收。
Fernando flipped pass the goal in the back-drawing on his right wing. Alan Kardec was put down by Lei Tenglong. The referee sentenced a spot kick and showed a yellow card to Lei Tenglong.	费尔南多右路一对二回带后突然挑传门前，卡尔德克前插接应时被雷腾龙飞扑动作放倒，裁判判定点球，并向雷腾龙出示黄牌。
Guoan changed a person at the 37th minute. Zhang Xiaobin left the playing field and Zhang Chiming came on the stage and turned his weapon around to defense.	国安在第37分钟就进行换人调整，张晓彬下场，张池明登场反戈旧主。
Alan Kardec get rid of the ball in front of the penalty area and Fernando pushed shot.	卡尔德克禁区前摆脱分球，费尔南多禁区左侧低平球传中，卡尔德克顺势推射破门。
This is also the time for Alan Kardec to score in the initial games of Chinese Football Association Super League. Lifan leads in 2:0.	这也是卡尔德克在中超首发的赛事中就取得入球，力帆2:0领先。
Just in the beginning of the next half, Fernando won any score on the right side by breaking off. It is a pity that he lobbed in small angle.	下半场刚刚开场费尔南多就以强行突破赢得右侧任意球，可惜小角度攻门打高。
After Deng Xiaofei received a yellow card in the delaying time, Peng Xinli who is alternative also received a yellow card because he fouled in front of the penalty area.	在邓小飞被判定拖延时间领到黄牌后，替补出场的彭欣力因禁区前犯规也领到黄牌。
At the 56th minute, Zhang Chiming hit in his left dribble and worked to transfer with Zhang Xizhe. He was fended off by Deng Xiaofei at the curling shot.	第56分钟，张池明左路内切中与张稀哲传递配合，其弧线球攻门被邓小飞挡出。
Liu Yu forcefully tackled and intruded Egor Krimets. He and the exciting Wang Dong got the yellow card.	刘宇禁区前凶狠铲抢侵犯克里梅茨，他与情绪激动的王栋相继领到黄牌。
At the 63rd minute, Fernando was knocked down by Egor Krimets when he conducted long-range strike. Fernando was quite dissatisfied with the move of Egor Krimets. Egor Krimets got a yellow card.	第63分钟，费尔南多右路奔袭时被克里梅茨直接撞翻，费尔南多对克里梅茨的动作非常不满，克里梅茨领到黄牌。
One minute later, Fernando showed his long-range raid capability at the right wing. Yu Dabao fouled and also got a yellow card.	1分钟后费尔南多再度在右路展示奔袭能力，于大宝追防犯规也领到黄牌。
Ilmaz restricted area within the line forcibly break, in Zheng Yurong leg to stop the action down to the ground, the referee to determine the penalty, Ilmaz surgeon, Lifan 2: 1 national security.	伊尔马兹禁区线内强行突破，在郑又荣伸腿拦截动作下倒地，裁判判定点球，伊尔马兹操刀破门，力帆2:1国安。
At the 86th minute, Zhou Ting sent the cross along the right wing. Sergeyev looped after chesting at the mid-way of the penalty area and shot. Deng Xiaofei sent the ball out with wonderful shoot.	第86分钟，周挺右路送出传中，谢尔盖耶夫在禁区中路胸部停球后顺势施射，邓小飞再次以精彩扑救将球封出。
4 minutes after the allowance, Lifan kept the 2-1 score to the final and defeated Guoan in the visiting field.	4分钟补时过后，力帆将2-1的比分保持到终场，于客场战胜国安。
After taking the valuable 3 points, Lifan obtained a total of 27 scores, temporarily ranking the 10th at the scoreboard.	拿下这宝贵的3分之后，目前力帆的积分达到27分，暂居积分榜第10位。
Lyman will become an expert for the partner of German Bundesliga Asia media and will participate in a variety of local fan activities.	莱曼届时将作为德甲亚洲媒体合作伙伴的专家，参加当地各种球迷活动。
According to reports, this fall, the Bundesliga ambassador Lyman and Matthaeus will represent the Bundesliga in Asia and the America to continue the legendary tour and start outpost for the opening ceremony of the 2016/17 German Bundesliga season.	据介绍，今年秋季，德甲联赛形象大使莱曼和马特乌斯将代表德甲在亚洲和美洲陆续展开传奇之旅，为2016/17赛季德甲的开幕打响前哨。
The event will cover two continents and four top cities. They will work for the preheating of the new season with fans.	本次活动将横跨两个大洲、覆盖四座顶级城市，他们将在各地和球迷们一起为新赛季预热造势。
German Bundesliga is known as one of the five major European leagues (FA Premier League, La Liga, Serie A, German Bundesliga, Ligue 1) and is the flagship event in the Germany football kingdom.	德甲联赛被誉为欧洲五大联赛(英超、西甲、意甲、德甲、法甲)之一，是足球王国德国体育界当仁不让的旗舰赛事。
As one of the world's most powerful league, the Bundesliga attracted about 13.3 million spectators to come to the stadium just in 2014-2015 season.	作为全球最具实力的联赛之一，德甲仅2014-2015赛季就吸引了约1330万名观众来到球场观战。
The representatives of Bundesliga, Bayern Munich, Dortmund and the famous star Thomas Muller, Ram and Goetze have become a household name in China.	德甲豪门的代表拜仁慕尼黑、多特蒙德和著名球星托马斯·穆勒、拉姆、格策等在中国可谓家喻户晓。
With the microblogging, Youku and WeChat Chinese platform of German Bundesliga, which went online previously, German Bundesliga hopes to provide a more extensive and timely and convenient channels to obtain the latest news of the league.	配合此前德甲已上线的微博、优酷和微信中文平台，德甲方面寄望为中国球迷提供更广泛和及时便捷的渠道，获取该联赛的最新消息。
Britain settle for silver in rugby sevens after Fiji masterclass sees them take gold	英国队在七人制橄榄球赛中获得银牌，斐济队夺得金牌
Great Britain's impressive run in the Rugby 7s was brought to a crashing halt at the final hurdle by Fiji in the final on Thursday night when they were comprehensively beaten 43-7 at the Deodoro Stadium here in Rio.	在周四晚上的七人制橄榄球赛决赛中，英国队未能在斐济队面前延续之前的出色表现，被斐济队以43比7在里约蒂奥多罗体育场击败。
Fiji gave a masterclass in handling, off-loading, side-stepping, support play, running lines and brute strength to win gold - their first Olympic medal of any colour.	斐济队凭借在控球、抢断、回避、配合、跑动和力量方面无懈可击的表现夺得金牌，这也是该国有史以来的首块奥运会奖牌。
Defeat came with the non-too shabby consolation of silver - Britain's third of the day - and they could be proud of their efforts in the inaugural Olympic 7s tournament in which they beat New Zealand, Argentina and South Africa along the way.	银牌对于被击败的英国队而言也算是一个不小的安慰，这块银牌是英国代表团当天获得的第三块银牌。这一成绩足以让英国橄榄球队感到骄傲：他们在首次进入奥运会的七人制橄榄球赛上一路击败了新西兰、阿根廷和南非。
The bruising beating of the Boks, 7-5 in the semi-final earlier in the day, may have come back to bite them in the final.	当天早些时候，英国队以7比5险胜南非队，这可能影响了他们在决赛中状态。
But, regardless, Fiji on this form would have beaten a fit as a fiddle 15-man team.	但无论如何，现在的斐济队足以击败一支精神饱满的15人球队。
It may be some consolation to GB - but probably not - that at least one Briton will have a gold medal around his neck tomorrow: Fiji's head coach is Ben Ryan, the former England boss from Wimbledon.	明天，至少有一个英国人将戴上一块金牌，这对于英国队而言可能是一种安慰，但也可能不是。这个英国人就是来自温布尔顿的斐济队主教练本·瑞恩，他曾担任英国队的主教练。
It has been some journey for GB.	英国队能取得今天的成绩实属不易。
Eight years ago, under Ryan, they lost every game at the Adelaide Sevens.	八年前，在瑞恩的执教下，他们在阿德莱得国际七人制橄榄球赛上未尝胜果。
Here, they lost just one.	而现在，他们离冠军仅一步之遥。
This hammering will hurt but the progress is startling.	虽然他们受到了巨大的打击，但也取得了十分惊人的进步。
Fiji started magnificently, bouncing off GB tackles for fun.	斐济开场就占据优势，使英国队毫无招架之力。
It was like running into a series of moving buses for captain Tom Mitchell and co and the World Series champions went 5-0 up when Osea Kolinisau dived over in the corner.	对于汤姆·米切尔和他的队友而言，这就像撞上了一连串正在行驶的公共汽车。当欧西·科林尼索冲入角旗区时，这支世界系列赛冠军球队已经以5比0的比分遥遥领先了。
With four minutes on the clock Jerry Tuwai added another down the right wing, which was converted.	比赛仅仅过了四分钟，杰瑞·图怀又在右翼触地得分。
12-0 and GB had hardly touched the ball.	12比0，英国队几乎没有碰到过球。
A superb Mitchell tackle stopped the man-mountain Leone Nakarawa from scoring a third but it was only delaying Fiji.	米切尔的强力阻截让巨人一般的里昂•那卡拉瓦没有第三次得分，但这仅仅是延缓了斐济得分的速度。
On seven minutes Jasa Veremalua touched down in the right corner and GB were 17-0 to the bad.	在7分钟时，亚萨·卫莱马鲁在右角触地。17比0，英国队雪上加霜。
Nakarawa added another from the restart and there was still over a minute on the clock ... in the first half.	那卡拉瓦又得一分，而比赛……的上半场还剩1分钟。
Vatemo Ravouvou then burst through some more limp GB tackling and stormed to the line to score.	然后，瓦特莫·拉沃沃冲破英国队的防守，直达得分线。
The conversion made it 29-0 at the break.	中场休息时，比分已经是29比0。
It was as if Fiji had been born to play 7s, while GB are still learning the trade.	斐济人就好像生来就是打7人制橄榄球的，而英国队仍是初出茅庐。
Which is pretty much how it is.	情况就是这样。
GB made wholesale changes at half-time and they plugged the Fijian dam...for all of four minutes, which by first-half standards was good, until Josua Tuisova went over after some brilliant Fijian interplay.	英国队在下半场作出了巨大的改变并且在整整四分钟里冲击着斐济人的防线，就上半场而言，这一表现已经很好了。但之后斐济队打出精彩的配合，由乔舒亚·图埃索瓦再次得分。
Dan Norton grabbed a try for GB, touching down in the left corner to make it 36-7 but the game was long gone the way of the South Sea Islanders whose fans sang, waved flags and danced in the stands.	丹·诺顿为英国队创造了得分的机会，他在左角触地，将比分更改为36比7，但比赛早已在南海岛国的掌控中，他们的球迷在站台上高声歌唱、挥舞旗帜、载歌载舞。
It was hard not to admire Fiji's whole joyful approach.	斐济队的精彩表现令人不得不拍手称快。
Mata Viliame iced the Fijian cake that didn't need icing with another try in the dying moments.	马塔·威廉在最后时刻阻止了斐济队的一次无所谓的进攻。
The whistle went, the Fijians embraced and GB hit the turf, thoroughly beaten.	终场哨声响起，斐济人拥抱在一起，而完败的英国队只能遗憾退场。
Earlier in the day, Fiji had beaten Japan 20-5 in their semi-final and GB edged South Africa in a tight semi-final of one try each - Britain's conversion the difference.	当天早些时候，斐济队在半决赛中以20比5击败了日本队，而英国对在一场激烈的半决赛对决中险胜南非队。
Kyle Brown put the Boks ahead in the first half but Dan Norton with some dazzling footwork broke the line and scored under the posts in the second half.	上半场凯尔·布朗帮助南非队取得领先，但丹·诺顿在下半场凭借出色的脚法破门得分。
A brilliant late tackle from Marcus Watson, brother of England's 15-aside team, Anthony, secured the win - and ultimately the silver medal.	之后，英格兰队安东尼的兄弟马库斯·沃森用精彩的拦截确保了球队的胜利，最终英国队夺得银牌。
Helen Glover and Heather Stanning inspired to rowing victory by coach's cancer battle	海伦·格拉芙和希瑟·斯坦宁受身患癌症的教练的鼓舞，夺得赛艇金牌
There will not be a more emotive gold at these games, and that is saying something.	毫不夸张地说，这是最让人感动的一块金牌。
From the first stroke to the last, 220 punishing heaves into history, Helen Glover and Heather Stanning found added meaning in their golden moment at the Estacio da Lagoa.	从第一次划桨开始到现在，海伦·格拉芙和希瑟·斯坦宁已接受了220次惩罚性拉举训练，而她们在 Estacio da Lagoa夺得的这块金牌具有更非凡的的意义。
Though they were the two pulling on the oars, there were three voices in that boat, the echo of coach Robin Williams ever present as they powered to a second successive Olympic gold in the women's pairs, the first females in the annals of British sport to scale such a height.	虽然划桨的只有她们两人，但船上还有一个人——教练罗宾·威廉姆斯——的声音一直陪伴着她们冲击连续第二块女子双人桨奥运会金牌，这是英国首对达到这一高度的赛艇女子组合。
Their dominance was absolute, after all this was their 39th outing unbeaten, again unprecedented.	她们已保持了39场不败纪录，具有绝对的优势。
What we see, two brilliant athletes skating over the surface with the elegance of swans, does not wholly reflect the nature of the triumph.	我们所看到的是这两名天才运动员在水面上优雅前行，但这并不是这一胜利的全部。
Behind every rowing gold is a battalion of willing hands contributing the incremental gains that make the difference, and no hands were more instrumental than those of a coach who 30 months ago did not know whether he would live to see this day when diagnosed with cancer.	在每一块赛艇金牌的背后都有许多自愿帮助的人，正是他们的不断奉献创造了不同，而其中帮助最大的莫过于一位30个月前得知自己身患癌症、不知道自己能否活着看到这一天的教练。
As he said, it was touch and go.	正如他所说，死亡随时可能到来。
I had bladder cancer which is one of the things they can operate on and they did.	我患上了膀胱癌，他们为我做了手术。
If they don't it goes everywhere.	如果不做手术的话，癌细胞会扩撒到全身。
It would have been a pretty bad situation.	这样，情况会糟糕得多。
It alters your outlook a bit.	这会略微改变你的看法。
Williams was diagnosed in December 2013.	威廉姆斯在2013年12月被确诊为癌症。
The trio were fortunate that he was able to begin his treatment at the start of 2014 out of season, keeping the disruption to a minimum, if that is ever the right expression in circumstances such as these.	幸运的是，他在2014年年初开始了治疗，将影响降到最低，虽然在这种情况下这么说可能并不合适。
I needed to get paid so I had to get better quickly.	我需要拿到工资，因此我必须赶快好起来。
It was an incentive.	这对我来说是一种激励。
I was in hospital and I was walking around the ward - 20ft, 30ft 50ft at a time when they were saying a few steps is enough.	我住在医院里，虽然他们说走几步就足够了，但我还是每次绕着病房走上20英尺、30英尺、50英尺。
That's how it starts off.	这就是一切的起点。
Rowing in itself is a journey but that makes it a bit bigger.	赛艇运动本身是一次旅程，而这让这段旅程变得更长一点。
In the immediacy of victory their first thoughts were for Williams, who had spent a nervy morning talking a little more than usual in an attempt to process his own anxieties.	在夺金的那一刻，她们首先想到的是威廉姆斯。今天早上的威廉姆斯比平时略微健谈一些，这是为了克服他的焦虑。
Stanning, a captain in the Royal Artillery regiment with a tour of Afghanistan behind her, said "I've been an emotional wreck this week, maybe that's a bit extreme, but it means such a lot."	曾是皇家炮兵团队长的斯坦宁之后将前往阿富汗，她表示：“我这周的心情很不好，可能有点极端，但这块金牌的确意义非凡。”
It just reiterates how much this means to me, how much me and Helen have worked and Robin as well.	它反复告诉我这对于我而言有多重要，我、海伦以及罗宾付出了多大的努力。
It's been a fantastic three years back with Helen and Robin.	这是海伦、罗宾和我努力了三年的回报。
Without Robin we would be nobody, so a massive thanks to him he's the best coach in the world.	如果没有罗宾，我们还只是无名小卒，非常感谢他，他是全世界最棒的教练。
I couldn't have asked for a better person to train with, or a better coach.	我不可能找到比他更棒的训练师和教练。
Helen Glover and Heather Stanning haven't lost a race in five years.	海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。
The pair set a punishing rhythm that their rivals could never match.	这对组合所设置的惩罚力度是她们的对手所无法比拟的。
Even in the final 500 metres when the crews from New Zealand and Denmark began to close, Stanning and Glover had too much in reserve.	即便是在最后的500米，新西兰队和丹麦队开始逼近时，斯坦宁和格拉芙仍有大量的体能储备。
We were very much in the moment.	当时真是惊心动魄。
Helen was calling 'stay in the process, stay in the process'.	海伦叫着：“保持节奏、保持节奏”。
It's really important not to get carried away.	不被对手所影响的确非常重要。
We had a good start and at the same time we weren't looking to do anything amazing.	我们有一个很好的开始，同时我们并没有期盼着做什么惊天动地的大事。
We weren't looking for fireworks today, we were just looking to do a good row and to go out and win that race, which we did.	我们没有去想今天的荣耀，我们只是想着划好每一桨和赢得这场比赛，并且我们做到了。
The pair will take a year before deciding their futures.	这对组合花了一年时间决定自己的未来。
Glover has a wedding to attend next month, her own to television adventurer Steve Backshall.	格拉芙下个月将与电视探险员史蒂夫·巴克沙尔结婚。
For now she just wants to enjoy the moment.	不过现在，她只想享受当下。
I didn't want to say this was my last race.	我不想说这是我的最后一场比赛。
That would have meant too much pressure.	这会给我带来太大的压力。
In London it took about six months to realise that I was an Olympic champion.	在伦敦，我用了约六个月时间才意识到我是奥运冠军。
It was all so new and I was so stressed.	这是一种全新的体验，而我感到十分紧张。
Here it took about four minutes.	现在已过去了约4分钟。
This feels so much better," she said.	她表示“我感觉好多了。”
A front-row seat to the stunning architecture of the Los Angeles Central Library	洛杉矶中央图书馆的惊艳结构先睹为快
Learn more about the history of downtown's Central Library as the Society of Architectural Historians/Southern California Chapter hosts a salon with Arnold Schwartzman and Stephen Gee, authors of the new book "Los Angeles Central Library: A History of its Art and Architecture" .	美国建筑史学家学会南加利福尼亚洲分会与新书《洛杉矶中央博物馆：其艺术与建筑历史》的作者阿诺·斯瓦茨曼和史蒂芬·吉举办了一场沙龙。观众们可通过此次活动进一步了解市中心中央图书馆的历史。
Gee and Schwartzman are scheduled to discuss and share images of the 1926 Bertram Goodhue design as well as the 1993 restoration and addition by Hardy Holzman Pfeiffer Associates.	吉和斯瓦茨曼将讨论并分享1926年贝特伦·古德西的设计图片以及1933年哈迪・霍尔兹曼・弗夫尔事务所的修复与扩建图片。
The salon is set for 2 p.m. to 4 p.m. on Aug. 21 in the Salle Moderne at the Art Deco Southwestern School of Law, (formerly Bullocks Wilshire), 3050 Wilshire Blvd.	此次沙龙的时间为：8月21日下午2点至4点，地点：Salle Moderne，Art Deco Southwestern School of Law（前Bullocks Wilshire)，3050 Wilshire Blvd。
Attendees can tour the Central Hall, Period Rooms, Cactus Lounge and Tea Room.	参加者可以参观中央大厅、时代展室、仙人掌休息室和茶室。
Advance tickets are required; SAH/SCC members, $15; non-members, $25.	需要提前订票；SAHSCC会员：15美元；非会员：25美元。
An open, industrial loft in DTLA gets a cozy makeover	DTLA的开放式工厂阁楼进行了一次舒适的改造。
Celebrating L.A.'s Central Library's 90th birthday with - what else? - a new book	庆祝洛杉矶中央图书馆90周年以及新书的发售
Bulgaria Posts Inflation for 1st Time in 8 Months	保加利亚8个月来首次出现通货膨胀
Inflation in Bulgaria was 1% on a monthly basis in July, national statistics show.	国家统计结果表明，7月保加利亚的月通货膨胀率为1%。
This is the highest value in years (since June 2012) and the first one above zero since October of last year when a positive 0.2% was posted.	这是几年来（自2012年6月起） 最高的通货膨胀率。去年10月 （通货膨胀率0.2%） 之后，通货膨胀率首次突破零点。
The annual average inflation, measured by CPI, in the last 12 months (August 2015 - July 2016) compared to the previous 12 months (August 2014 - July 2015) was -0.8%.	相比之前的12个月 （2014年8月至2015年7月），过去12个月 （2015年8月至2016年7月） 的年平均通货膨胀率 （以消费者价格指数衡量）为 -0.8%。
The consumer price index in July 2016 compared to June 2016 was 101.0%, i.e. the monthly inflation was 1.0%.	相比2016年6月，2016年7月的消费者价格指数为101.0%，即月通货膨胀率为 1.0%。
The inflation rate since the beginning of the year (July 2016 compared to December 2015) has been -0.2% and the annual inflation in July 2016 compared to July 2015 was -0.2%.	今年至今的通货膨胀率 （2016年7月相对于2015年12月） 为 -0.2%。相比2015年7月，2016年7月的年通货膨胀率为 -0.2%。
In July 2016, compared to the previous month, an increase was observed in the price of the following groups of consumer goods: food and non-alcoholic beverages (1.7%); transport (1.8%); recreation and culture (6.3%); restaurants and hotels (1.2%); miscellaneous goods and services (0.3%).	相比上月，下列几类消费品的价格在2016年7月出现上涨：食品和非酒精饮料 (1.7%)、交通 (1.8%)、娱乐与文化 (6.3%)、餐厅与酒店 (1.2%)、其他商品与服务 (0.3%)。
Prices decreased in clothing and footwear (2.2%); furnishings, household equipment and routine maintenance (0.5%); health (0.1%).	价格出现下降的有服装与鞋类 (2.2%)、家具、家电和常规维护 (0.5%)、医疗 (0.1%)。
Prices remained at the same level as in the previous month in alcoholic beverages and tobacco; housing, water, electricity, gas and other fuels; communications; and education.	与上月价格持平的有酒精饮料和烟草、住房、水、电、天然气和其他燃料、通信、教育。
Snapchat "Anime" Effect Is Criticized as Asian Caricature	Snapchat 的“动漫”效果被指讽刺亚洲人
Snapchat says this filter is inspired by anime, but some observers say it's racially insensitive.	Snapchat表示这一滤镜的灵感来自动漫，但一些观察者认为它带有种族色彩。
With its lens tool, Snapchat allows some 150 million daily users to alter reality and play with identity in ways that border on the absurd.	Snapchat的1.5亿名日常用户可以通过其滤镜工具改变现实并且将人像变得滑稽可笑。
You can turn yourself into a pineapple, a dog or a character befitting a Roy Lichtenstein painting.	你可以把自己变成一颗菠萝、一只狗或一个罗伊·利希滕斯坦画中的角色。
The lenses are blunt, feature-warping tools that generate more than 30 million enhanced selfies a day.	这些透镜具有钝化、弯曲特征的效果，每天产生3000多万张经过修饰的自拍。
Any missteps quickly enter the public record.	任何失误都会立刻被公众所注意。
Snapchat lenses have drawn criticism in the past with accusations that the app was promoting blackface or encouraging whitened skin tones as an ideal of beauty.	Snapchat透镜曾受到批评，该应用被指鼓动扮演黑人或者以白色皮肤为美。
So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - "yellowface."	因此，当该应用本周为一些用户提供了一个可以创造斜眼、怪牙和粉脸效果的滤镜时，一些评论家将其称为对亚洲“黄种人”的种族讽刺。
And they wondered if these repeated controversies pointed to a larger problem that the company has with diversity.	他们甚至认为这些反复出现的问题是否意味着该公司在多样性上存在较大的问题。
The news and the outrage went wide on Wednesday, with reports by The Verge and Motherboard, a day after Snapchat said it had dismantled the feature.	在Snapchat表示其删除该功能后，周三The Verge and Motherboard的报道引发众怒。
The company offered an explanation: The lens was meant as homage to anime characters, not as a caricature of Asian people.	该公司的解释是：该滤镜是对动漫角色致敬，而非讽刺亚洲人。
But for observers who have experienced racism, the lens reminded them of hurtful stereotypes in action.	但对于经历过种族主义的观察者而言，该滤镜让他们想起了现实中具有伤害性的刻板印象。
Others roundly rejected the anime comparison.	其他人也坚决反对这些动漫形象。
In an email, Grace Sparapani, a Korean American art student whose tweet about the photos was widely shared, said that the lens was "hurtful and uncomfortable to say the least."	一名针对这些照片发表了推特并且被广泛分享的韩裔美国艺术生在一封电子邮件中表示，这些滤镜“至少是令人感到难受和不适的”。
She added that "it's hard to argue with the side by side comparison of the very gross Asian caricature and the filter's effects.	她还表示：“很难区分极度恶心的亚洲讽刺形象与滤镜的效果。”
It shows that the filter isn't just yellowface, but yellowface taken to its derogatory extreme.	虽然滤镜中不只是黄种人，但黄种人被极端贬低。
Snapchat is not the only company to cross these cultural tripwires.	Snapchat并不是唯一一家触及这些文化底线的公司。
American culture seems involved in an endless struggle over diversity and inclusion, from corporate boardrooms to Hollywood and the devices we all carry in our hands.	从公司董事会到好莱坞以及我们携带的设备，美国文化似乎一直在提倡多样性与包容性。
And Snapchat's huge audience of younger people - who are more racially diverse than their older counterparts - might mean that they are even more likely to expect sensitivity.	Snapchat庞大的年轻群体由于比老一辈更加注重种族的多元化，因此可能会十分敏感。
When one of Snapchat's lenses creates an image that is insulting to a user, 25-year-old Katie Zhu said in an interview on Thursday, "it's much harder for these types of things to go unnoticed like they did before."	当Snapchat的一个滤镜产生了侮辱用户的形象时，25岁的朱凯蒂 （音译） 在周四的采访中表示：“相比以前，此类事物更难逃过人们的视线。”
On Thursday, Ms. Zhu, a product manager and engineer who works for Medium, decided to delete her Snapchat account and encouraged others to do the same.	周四，在Medium担任产品经理和工程师的朱女士决定删除她的Snapchat帐号并且鼓励他人也这么做。
In an essay for Medium and in a telephone interview, she said she believed that the race-related controversies reflected a lack of diversity in hiring practices at Snapchat.	在一篇为Medium所写的文章和一次电话采访中，她表示自己认为种族方面的争议反映了Snapchat在招聘过程中缺乏种族多样性。
Ms. Zhu criticized the company's mostly white, all-male leadership and ended her essay with a hashtag: #DeleteSnapchat.	朱女士批评该公司的员工大多数为白人，领导层全部为男性并且在文章的最后加上了一个标签：#DeleteSnapchat。
"It's either that they had no diverse representation of people of color on their staff to the point where they're able to make decisions like this," Ms. Zhu, who is Chinese-American, said, "or they do have some people of color who are working there, but they're not on positions where they feel safe or comfortable to speak up."	作为一名华裔美国人，朱女士表示：“要么他们的员工中没有各色人种，所以才能作出这样的决定，要么他们的员工中有一些有色人种，但他们的职位无法让他们畅所欲言。”
Other observers share her view, a complaint that Snapchat has left largely unanswered.	其他观察者分享了她没有被Snapchat回应的投诉。
The company does not release figures about diversity on its staff, noting its status as a private company.	该公司并未发布有关员工多样性的数据，并且表示自己是一家私人公司。
On Thursday, Snapchat declined to discuss the racial backgrounds of its staff, but according to a spokesman, the company recently hired a recruiter to focus on underrepresented populations and on driving inclusion efforts internally.	周四，Snapchat拒绝讨论其员工的种族背景，但一名发言人称，该公司近期雇用了一名招聘人员专门负责关注内部比例较低的人群以及推动内部包容性方面的工作。
For her part, Ms. Zhu said she would keep her Snapchat account closed, adding, "I wonder if they actually need more users like us to be able to say that this is not O.K."	朱女士表示，她将关闭她的 Snapchat 帐号：“我想知道他们是否需要更多像我们这样反对这一行为的用户。”
Military Officials Distorted ISIS Intelligence, Congressional Panel Says	国会小组表示，军事官员扭曲了ISIS的情报
Officials from the United States Central Command altered intelligence reports to portray a more optimistic picture of the war against the Islamic State in Iraq and Syria than events on the ground warranted, a congressional panel said in a report issued Thursday.	一个国会小组在周四发布的报告中指出，美国中央司令部的官员更改了情报报告，将在伊拉克和叙利亚对抗伊斯兰国的战争情况描述得比实际情况更为乐观。
The interim report, from a task force established by the Republican chairmen of the House Armed Services Committee, Intelligence Committee and Defense Appropriations Subcommittee, found "widespread dissatisfaction" among Central Command intelligence analysts, who said superiors were doctoring their assessments of American efforts to defeat the Islamic State.	这份中期报告来自一个由众议院军事委员会、情报委员会和众议院拨款委员会国防分委会共和党主席组建的专项工作小组。报告称，中央司令部情报分析员存在“广泛的不满”，这些分析员表示上级正在篡改他们对于美国与伊斯兰国之战的评估。
Central Command, known as Centcom, is the military headquarters in Tampa, Fla., that oversees American military operations across the Middle East and Central Asia.	位于佛罗里达州坦帕的中央司令部 (Centcom) 是负责监管美国在中东和中亚地区的军事行动的军事总部。
"Intelligence products approved by senior Centcom leaders typically provided a more positive depiction of U.S. antiterrorism efforts than was warranted by facts on the ground and were consistently more positive than analysis produced by other elements of the intelligence community," a news release about the report said.	根据一份关于该报告的新闻，“经过中央司令部高级领导者审核的情报对于美国反恐行动的描述比实际情况更乐观，并且始终比其他情报机构的分析更乐观。”
"What happened at Centcom is unacceptable - our war fighters suffer when bad analysis is presented to senior policy makers," said Representative Ken Calvert, Republican of California.	加利福尼亚州共和党代表表示：“中央司令部的行为难以令人接受。一边是我们的战士饱受战争之苦，另一边则是高层政策制定者收到错误的分析。”
The leadership failures at Centcom reach to the very top of the organization.	中央司令部的领导层问题已延伸到该机构的最高层。
The 10-page report detailed persistent problems in 2014 and 2015 in Central Command's description and analysis of American efforts to train Iraqi forces.	该报告详细指出了2014年和2015年中央司令部在描述和分析美国培训伊拉克军队方面长期存在的问题。
Although it offers no definitive evidence that senior Obama administration officials ordered the reports to be doctored, it describes analysts as feeling as though they were under pressure from Centcom leaders to present a more optimistic view of the threat posed by the Islamic State, also known as ISIS or ISIL.	虽然没有确定性的证据表明，奥巴马政府的高层官员下令更改这些报告，但根据报告的描述，这些分析员感到自己受到了来自中央司令部领导者的压力，迫使他们对伊斯兰国 （ISIS或ISIL) 的威胁发表更乐观的意见。
"Throughout the first half of 2015, many Central Command press releases, statements and congressional testimonies were significantly more positive than actual events," the report said.	该报告称，“在2015年上半年，许多中央司令部的新闻稿、声明和国会证言比实际情况要乐观得多。”
For example, a Centcom official stated publicly that a major military assault to take back Mosul could begin as early as April or May 2015.	比如，一名中央司令部的官员公开表示可能最早在2015年4月或5月采取一次大型军事行动夺回摩苏尔。
Mosul, Iraq's second-largest city, remains under the control of the Islamic State.	伊拉克第二大城市摩苏尔目前仍在伊斯兰国的控制之下。
"After months of investigation, this much is very clear," Representative Mike Pompeo, Republican of Kansas, said in a statement.	堪萨斯州共和党代表迈克·蓬佩奥在一份声明中表示：“经过数月的调查，这一结果已十分明显。”
