ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
残念なことに、そのうちの一人が途中で見知らぬ男たちに襲われ、その後病院で死亡した、と声明には書かれていた。	On their way, sadly, one of them was attacked by unknown men and later passed [a]way in hospital," their statement read.
UKZNは、ンドロブさん死亡という状況を受け、「私たちはひとつのコミュニティとして、人生の儚さとこの社会で頻繁に起きる残虐行為についてよく考える必要がある」と述べ、金曜に学術活動を一時休止した。	UKZN suspended academic activities on Friday, saying "the circumstances of Ndlovu's death requires us as a community to pause and reflect on the fragility of life, and the brutality that often exists in our society."
【バドミントン・中国OP】桃田が激闘を制して優勝！	[Badminton・China OP]　Momota wins after tough game!
タカマツは準優勝（バド×スピ！	Takamatsu is runner up (Bado×Supi!
9/23 (月) 7:52配信	Published September 23rd (Mon) 7:52
9月22日、バドミントンのBWFワールドツアー、中国オープン（中国・常州）は大会最終日。	September 22nd was the last day of the badminton BWF world tour, China open (China・Changzhou).
各種目決勝が行われ、日本勢は男子シングルスと女子ダブルスに登場した。	The final rounds of each event were held and the Japanese players appeared in the men's singles and women's doubles.
男子シングルスの桃田賢斗（NTT東日本・世界ランク1位）は、昨年の決勝で敗れていたインドネシア選手に勝利。	For men's singles, Momota Kento (NTT East Japan /ranked 1st in world) defeated the Indonesian player who had defeated him last year.
前日の準決勝に続き、約1時間半に及ぶ戦いを2－1で制し、大会初優勝を果たした。	Following the previous day's semifinals, he won the hour and half match by leading 2-1 to his first victory of the tournament.
女子ダブルスの高橋礼華／松友美佐紀（日本ユニシス・世界ランク3位）は、世界ランク4位の中国ペアに敗れて準優勝。	For women's doubles, Takahashi Reika /Matsutomo Misaki (Nihon Unysis / ranked 3rd in world) ended up as runner up after being defeated by a Chinese pair ranked 4th in the world.
昨年に続く連覇はならなかった。	Consecutive win from last year was not to be.
マイラン社、エピペン問題和解金3000万ドル支払いに同意	Mylan agrees to pay $30M in EpiPen settlement
マイラン社は、メディケイドに対するエピペンを巡る過剰請求の有無についての米司法省の調査に関する情報を投資家に開示しなかった件で、和解金3000万ドルを支払うことに同意した。	Mylan has agreed to pay $30 million in a settlement tied to its failure to tell investors about a Justice Department investigation into whether the company overcharged Medicaid for the EpiPen.
金曜、米証券取引委員会は、マイラン社がメディケイドの薬品リベートプログラムにおいてエピペンを「ジェネリック」として分類していたと発表した。	The Securities and Exchange Commission said Friday that Mylan NV classified the EpiPen as a "generic" drug under the Medicaid drug rebate program.
これにより、医薬会社からの政府に対する支払いは、エピペンが「ブランド」薬品として分類された場合に比べ極端に低い額であったことが分かった。	This led to the pharmaceutical company paying much lower rebates to the government than if the EpiPen had been classified as a "branded" drug.
マイラン社は、7月に本件に関してSECと原則的合意に達したことを発表した。	Mylan had disclosed in July that it had reached an agreement-in-principle with the SEC on the matter.
金曜日に出された企業の声明文では、SECの主張について肯定も否定もされていない。	The company said in a statement Friday that it neither admits nor denies the SEC's allegations.
アクセルペダルの踏み間違い事故をなくす！	Eliminate stepping on the accelerator by accident!
後付け可能な急発進防止装置4選（Auto Messe Web ） - Yahoo!ニュース	4 sudden start prevention devices that can be retrofitted (Auto Messe Web) - Yahoo! News
意外とリーズナブルに安心が買える	You can buy peace of mind for surprisingly reasonable prices
運転ミスによって起きる交通事故。	Traffic accidents caused by driver error.
なかでも高齢ドライバーによるブレーキとアクセルの踏み間違いによる事故は、増加傾向にあります。	Above all else, accidents caused by elderly drivers accidently pressing the accelerator instead of the breaks have begun to increase.
とくに急発進したときはパニック状態になり、ブレーキペダルを踏んでいるつもりでアクセルは踏んだままということもあります。	They especially panic when the car suddenly starts moving, and keep stepping on the accelerator while thinking they are stepping on the brake pedal.
このような運転ミスを未然にカバーするような安全運転サポート機能を装着した新車が登場していますが、未装着車にも装着可能な後付け装置も存在しています。	New vehicles with safe driving functions that can correct such driver errors have been appearing, and there are also devices that can be retrofit onto vehicles that don't have these functions equipped.
そんなアフターパーツメーカーが開発、販売している急発進防止・予防システム。	The sudden start prevention system these after production parts makers sell.
それぞれがどのような特徴を持っているのか紹介したいと思います。	We'd like to introduce a few to show what kind of features they have.
アクセルとブレーキのペダル間隔が狭く同時に踏んでしまう	Stepping on both accelerator and break because distance between them is narrow
【e-ACCEL ALARM】 新たな視点でペダルの踏み間違いを知らせるのは、ピボットが開発した「e-ACCEL ALARM（イーアクセルアラーム ） 」 。	[e-ACCEL ALARM] The e-ACCEL ALARM, developed by Pivot, notifies you of pedal stepping mistakes in a new way.
ペダルの踏み間違いを"警報音"で回避させるというものです。	It sounds an alarm if the wrong pedal is stepped on.
仕組みは、停止または低速走行時に、ブレーキと踏み間違えてアクセルペダルを必要以上踏むと"警報音"を発生。	The mechanism is such that, an alarm is sound when the accelerator is pressed more than necessary, when mistaking it for the break while driving slowly or stopping.
音に反応しアクセルを戻すことを促し、踏み間違いを素早く認識させることで急加速を回避させるというもの。	The sound notifies the driver to ease back on the accelerator and avoid speeding up by quickly recognizing the wrong step.
アクセルの踏み間違いによる、エンジン音の変化が分かりにくく、聞こえにくかったりする高齢者ドライバーにも効果的。	It is also effective for elderly drivers who are unable to hear the change in engine sounds when they step on the accelerator by accident.
装着はOBDIIコネクターへ差し込み、本体は両面テープで貼るだけ。	Insert it into the OBDII connector and the body sticks with double-sided tape.
価格も9800円（税抜）と手頃だし、設定も必要なしという手軽さも魅力です。	The price is reasonable at 9800 yen (excluding tax) and the no installation simplicity is appealing.
【あしもと見守るくん】 ワールドウィングが9月中旬に発売をスタートさせたのが、アクセル・ブレーキ踏み間違い防止装置「あしもと見守るくん 」 。	[Ashimoto Mimamoru-kun] World Wing launched an accelerator/break mistake prevention device called "Ashimoto Mimamoru-kun" in mid-September.
前進だけなく後退（バック）時にも対応。	It support not just forward movement, but also backwards.
停車時（および10Km/h未満）からの前進・後退においてアクセルペダルが急激に踏み込まれた際に車両側の車速信号とブレーキ信号を検知、アクセル開度を電気的に抑制して急発進を抑制します。	When the accelerator is suddenly pressed when moving forward or backward while stopping (or driving at less than 10Km/h) it detects the vehicle’s speed signal and brake signal and suppresses the sudden start by electronically controlling the accelerator.
誤ってアクセルペダルを踏んでしまったときに、アクセルからの信号を伝えず、瞬時にクリープ走行状態（Dレンジでブレーキを離した状態）にするで急発進を制御。	If you accidentally step on the accelerator it won't transmit the signal from the accelerator and instead instantly turn to creep drive (Brake released in the D range) which controls the sudden start.
後退（バック）時においても約5Km/h以上の車速を検知し、強制的に車両をクリープ状態に切り換える機能も搭載しています。	It also detects the speed of the vehicle going backwards above 5 km/h and has the function to force switch the vehicle to creep mode.
取り付けは、カプラーオンと簡単な配線処理だけで可能です。	Installation is possible with just a coupler and some simple wiring.
本体価格は3万7000円（税抜 ） 。	The main unit is 37000 yen (excluding tax).
米金融大手ＣＥＯにシャーフ氏 ウェルズ・ファーゴ｜静岡新聞アットエス	Scharf to become CEO of the US financial giant, Wells Fargo | Shizuoka Newspaper @S
米ウェルズ・ファーゴのＣＥＯに就任するチャールズ・シャーフ氏＝４月、ワシントン（ＡＰ＝共同）	Charles Scharf, who will take office as CEO of Wells Fargo, in Washington in April (Associated Press)
【ニューヨーク共同】米金融大手ウェルズ・ファーゴは２７日、最高経営責任者（ＣＥＯ）にバンク・オブ・ニューヨーク・メロンＣＥＯだったチャールズ・シャーフ氏が就く人事を発表した。	New York: The US financial firm, Wells Fargo, announced on the 27th that it will be appointing Charles Scharf, formerly CEO of the Bank of New York Mellon, as CEO.
ウェルズ・ファーゴでは２０１６年、従業員が顧客に無断で口座を開設するなどした不祥事が発覚した。	In 2016, a scandal was uncovered wherein Wells Fargo employees had opened accounts without the consent of customers.
企業統治への批判が続く中、今年３月にティム・スローン前ＣＥＯが辞任。	Amidst continuing criticism over its corporate governance, former CEO Tim Sloan resigned in March of this year.
暫定ＣＥＯを起き、社外からＣＥＯ候補を探していた。	Wells Fargo put a temporary CEO in place while they searched for a CEO from outside the company.
福井県福井市中央１丁目にオープンしたタピオカドリンク専門店	New Tapioca Drink Stores Open at Chuo 1-chome, Fukui
福井県福井市中央１丁目の空き店舗数は８月末現在で３９軒となり、３月からの半年間で７軒減ったことが、市の第三セクターまちづくり福井の調査で分かった。	A review of the city's third sector that was carried out by the Fukui town planning council has revealed that the current number of vacant stores in Fukui's Chuo 1-chome is 39 as of the end of August, down seven in the six months since March.
短期間に相次いだタピオカドリンク専門店の新規出店が、空き店舗の解消につながった。	A number of stores specialising in tapioca drinks opening in quick succession has led to the reduction of vacant stores.
空き店舗数は、美をテーマに出店者を呼び込む「美のまちプロジェクト」やリノベーションの動きが活発化した２０１６年２月に次ぐ水準にまで改善した。	The situation has improved to a level just behind that of February 2016, when the "Beauty Town Project" that invited people to set up shops on the theme of beauty, and other renovation works, were especially active.
調査は１階路面店が対象。	The review only considered stores at street level.
前回以降の半年間で１５軒の出店があり、うち１２軒が空き店舗で開業した。	Fifteen new stores have appeared in the six months since the last review, with 12 of them opening in previously vacant stores.
一方、退店などで５軒が新たに空き店舗となった。	Meanwhile, five stores have become vacant due to closures.
全体の店舗数は３２０軒で、空き店舗率は１２・２％となり前回に比べて１・９ポイント下がった。	There are 320 stores in total, and the vacancy rate is 12.2%, down 1.9 points from the previous review.
新規出店１５軒のうちタピオカ専門店は５軒。	Of the 15 new stores, five specialise in serving tapioca drinks.
６月以降に北の庄通りや福井駅前南通りなどで開業した。	Since June, they have sprung up in locations such as Kitanosho-dori Street and Fukui Ekimae Minami-dori Street.
まちづくり福井によると、調査後に、福井駅前電車通りの空き店舗にも、別のタピオカ専門店が進出。	According to the Fukui town planning council, more tapioca drink stores have appeared in once vacant stores on Fukui Ekimae Densha-dori Street since the review was carried out.
担当者は「平日にも長い行列ができた一時期の熱気は落ち着いてきたが、まだまだタピオカを片手に歩く女性は多く見られる」と話している。	A source attached to the review said, "While the initial fervor that saw long queues even on weekdays has calmed down, you still see plenty of women walking down the street, tapioca in hand."
再開発の計画があるエリアの状況をみると、出店が４軒（うち２軒はタピオカ専門店 ） 、 退店は１軒だった。	A look at areas where redevelopment is planned reveals four new stores (two of them tapioca drink stores) and one store closure.
同社の調査では、中央１丁目の空き店舗数は１０年８月に７８店舗（空き店舗率２０・３ ％ ） と最も増えた。	According to the council's investigations, the number of vacant stores in Chuo 1-chome was at the highest in August 2010, with 78 vacant stores (a vacancy rate of 20.3%).
その後改善し、１６年２月以降は４０軒前後で推移していたが、ことし２月は４６軒に増えていた。	After that, the situation improved and the number of vacant stores was stable around 40 from February 2016 onwards, but rose to 46 in February of this year.
１０代の息子２人を殺害した母親、有罪を認める	Mother pleads guilty to murdering two teenage sons
１０代の息子２人を殺害したことを認め、さらに４人の子供の殺害も企てたとされる女は、残りの生涯を刑務所で過ごすことになる見込みと言い渡され、泣き崩れた。	A woman broke down in tears as she was told she could spend the rest of her life in prison after admitting murdering her two teenage sons while conspiring to kill four more of her children.
セーラ・バラス（３５）は、トリスタン・バラス（１３）さんおよびブレイク・バラスさん（１４）の殺害で罪状を認めた。	Sarah Barrass, 35, pleaded guilty to the murder of Tristan Barrass, 13, and Blake Barrass, 14.
兄弟は、5月24日午前7時30分頃、サウス・ヨークシャー、シェフィールドのシャーグリーン付近に警察が通報を受けた後、病院で１人目が死亡、２人目も12分後に死亡した。	The brothers died in hospital 12 minutes apart after police were called to the Shiregreen area of Sheffield, South Yorkshire, at about 7.30am on 24 May.
検視が行われたが、金曜にシェフィールド刑事法院で開かれた審理では結果は公表されなかった。	Postmortems have been carried out but the results were not given during a hearing on Friday at Sheffield crown court.
少年たちの死亡に関する正確な状況は未だに明らかになっていない。	The exact circumstances surrounding the boys' deaths are not yet known.
バラスは、家族で共同被告人のブランドン・マチン（３９）とともに被告席に現れた。	Barrass appeared in the dock alongside her co-defendant, Brandon Machin, 39, a family member.
警備員に付き添われた２人は、2件の殺人、子供６人の殺害共謀容疑で有罪を認めた。	Flanked by three security officers, they pleaded guilty to two counts of murder and one count of conspiracy to murder six children.
２０分間の審理中、２人は他にも５件の殺人未遂で有罪を認めた。	The pair also pleaded guilty to five counts of attempted murder during the 20-minute hearing.
殺害共謀容疑は、5月14日から20日の間に関係している。	The conspiracy to murder charges relate to a period between 14 and 20 May.
4件の殺人未遂容疑には、5月23日のブレイクさんとトリスタンさんを含む４人の子供が絡んでいる。	Four of the attempted murder charges relate to four children, including Blake and Tristan on 23 May.
５件目の殺人未遂は5月24日に起きた。	The fifth count of attempted murder took place on 24 May.
一命を取り留めた子供たちはすべて13歳以下である。	The surviving children are all under the age of 13.
裁判官のジェレミー・リチャードソン勅選弁護士は、２人に対し、「あなた方のした行為の非道さは私の言葉では言い尽くせない。	The judge, Jeremy Richardson QC, told the pair: "No words of mine can ever fully reflect the enormity of what you have both done.
犯した罪が十分率直に物語っている。	The crimes you have committed quite frankly speak for themselves.
２人の子供の殺害。	The murder of two children.
４人の子供の殺人未遂および包括的殺害の陰謀。	The attempted murder of four children and the overarching conspiracy to murder those children.
ほぼ間違いなく、やがて、各々に数件の終身刑の判決が下されるでしょう。」と言い渡した。	I have little doubt that each of you will in due course be sentenced to several terms of life imprisonment."
どこで終身刑が課されるかは裁判官次第である。	It's a matter for the judge where a whole life order is imposed.
判決は11月12日に下される予定である。	They will be sentenced on 12 November.
鳥羽 ごみリサイクル技術を視察 ネパールの農林大臣ら 三重 - 伊勢新聞	Nepalese ministers of agriculture and forestry visit Topa, Mie, to observe city's waste recycling technology - Ise Newspaper
【リサイクル施設を視察するネパールのダワ農林大臣（右端）ら一行＝鳥羽市のリサイクルパークで】	[Minister Dawa (far right) and other ministers from Nepal's Ministry of Agriculture and Forestry observing recycling facilities at Toba's Recycling Park]
【鳥羽】ネパールのダワ・ドルチェ・ラマ農林大臣ら10人が26日、三重県の鳥羽市役所や同市大明東町のリサイクルパークを訪れ、生ゴミの堆肥化技術などを視察した。	[Toba] Dawa Dorje Lama, the Nepalese Minister of Agriculture and Forestry, and nine other ministers visited Toba City Hall and Recycling Park in Oakihigashi-machi on the 26th to observe the city's technology for turning raw waste into compost.
同国では従来、生活ゴミのほとんどを埋め立てで処理していたが、留学生を通じて津市在住の日本農業経営大学校講師橋本力男さん (67) が研究しているごみの堆肥化技術が紹介されたことにより、無農薬での有機農業促進に向け、カトマンズ州ティミ市をモデル都市に、ごみのリサイクル導入に向けた取り組みを開始した。	Up until now, most domestic waste in Nepal was buried in landfills, but an exchange student introduced the country to the composting technology being researched by Hashimoto Rikio (67), a professor at the Japan institute of Agricultural management in Tsu, and Nepal has now begun initiatives to introduce waste recycling in the model city of Thimi in Kathmandu District, with the aim of promoting organic agriculture free from pesticides.
県内では平成19年に設置された鳥羽市の同施設で技術が活用されていることから30年２月に視察を開始し、今回で３回目の視察団訪問となる。	They have first visited this facility in Feburary 2018, since this facility, established in Toba, Mie Prefecture in 2007 utilizes this technology, and this time marks their third visit to the facility.
視察に初参加したダワ大臣は市役所で中村欣一郎市長と面談し 、 「 世界でも日本の技術は進んでいる。ティミだけでなく全国的に取り組みを進めたい」とあいさつし、姉妹都市提携を視野に入れた交流を求めた。	Minister Dawa, who was participating for the first time, met with Mayor Nakamura Kinichiro at the city hall, and said, "Japanese technology is advancing at a global level. I want to expand this scheme not just to Thimi, but nationwide," seeking exchange with the view to forming a sister city alliance.
中村市長は「まだ鳥羽市民全体に行き渡っていないのに高い評価をいただき驚いている。今後も心の交流を続けたい」と話していた。	In response, Mayor Nakamura said, "I'm delighted to receive such high praise even though the scheme has not yet spread to the all the citizens of Toba. I would like to continue our reciprocal exchange in the future."
〈佐賀豪雨〉豪雨災害、あの時何が... 子育て中の母親経験共有 自治体に提言も「家族の形に合わせた備えを」｜まちの話題｜佐賀新聞ニュース｜佐賀新聞LiVE	Saga heavy rains: torrential rain disaster, what happened then... mothers with young children share their experiences proposal to the local government "Preparations need to be made that suit family units" | Local Topics | Saga Shimbun News | Saga Shimbun LiVE
「白石町子育て応援サークルはぐはぐ 」 （ 田中知子代表）は２７日、佐賀豪雨災害の経験や教訓を共有する座談会を同町坂田の有明公民館で開いた。	On the 27th, "Shiroishi Town Childcare Support Club Hug Hug" (representative: Tanaka Tomoko) held a round-table discussion in the Ariake Community Centre in Sakada, Shiroishi, to share experiences and the lessons learnt from the recent heavy rain in Saga.
子育て中の母親ら約２０人が各家庭に合った防災の形を考え、気付きや自治体への要望などをまとめた。	Around 20 mothers with young children thought about the form of disaster prevention that would be most suited to their family, and collated their observations and requests for the local government.
武雄市北方町の楠本沙緒里さん（３２）は、保育園が好きだった３歳の子どもが、水害後に急に保育園へ行きたがらなくなり、夜にうなされるようになったという。	Kusumoto Saori (32) of Kitagata-machi, Takeo, said that her 3-year-old who had previously liked nursery school suddenly no longer wanted to go after the floods, and had begun to have nightmares.
「大人が家の片付けに忙しく、十分に向き合う時間がなかったからでは」と振り返り 、 「 大人が慌てず、子どもに『大丈夫』と言ってあげられるよう災害に備えたい」と語った。	Looking back on it, she remarked, "I think it could have been because the adults were so busy with cleaning up their homes, that we couldn't spend the proper amount of time with our children," adding, "I'd like to be prepared for a disaster so that I can tell my children that everything is okay, and don't panic as an adult."
白石町の大串由香里さん（３６）は、３歳の子を含む家族４人で避難所の町役場で一夜を過ごした。	Ogushi Yukari (36) of Shiroishi told of how she spent the night at the town hall which was being used as an evacuation shelter with all four member of her family, including her 3-year-old child.
「じっとしていられない年頃の子がいると、周囲に気を使う」と体験を述べた。	She said of the experience, "When you have a child who can't stay still, you worry about the people around you."
４歳から１２歳まで５人の子がいる佐賀市中心部の女性（４５）は家の周囲が水に漬かった。	The area around the house of a woman (45) in central Saga, who has five children aged four to 12, was completely submerged.
「５人を抱えて逃げられない」と、災害時もできる限り自宅で過ごすつもりで食料や簡易トイレを備えている。	Reasoning that, "I can't carry all five to safety," she has prepared food and a portable toilet with the intention of staying home in an emergency if possible.
「備えに正解はない。家族構成や住まいの状況で必要な備えは変わる」と呼び掛けた。	"There's no correct way to prepare. The kind of preparations that are necessary vary depending on one's family structure and living conditions," she appealed.
６歳と８歳の子を持つ白石町の川﨑姿子（しなこ）さん（４０）は「小学校は前日に休校のメールがあったが、保育園は連絡網もメールのシステムもない。一斉メール送信システムがあればいい」と提案。	Kawasaki Shinako (40) from Shiroishi, who has a 6-year-old and an 8-year-old, said, "There was an email from the primary school the day before to say that it would be closed, but the nursery school has neither a network nor an email system. It would be good if they had a system to send out mass emails."
浸水している道をリアルタイムで共有できるシステム構築の要望もあった。	There was also demand for the creation of a system that would share what roads are flooded in real time.
川﨑さんは「以前とは天候が変わっていて 、 『 前回は大丈夫だった』は通じない。小さな工夫や人とのつながりを大事にして災害に備えたい」と話した。	Ms. Kawasaki said, "The weather is now different from how it used to be, so one cannot simply say 'It was fine last time.' I'd like disaster preparations to take into account things like people connections and other schemes.
田中代表は「出された意見は、団体として行政に伝えることも考えていく」と話していた。	Club representative Tanaka expressed their intention to present their opinions as a group to the government.
ボリス ジョンソン氏と女性実業家ジェニファーアーキュリ氏との関係　警察監督機関に照会	Boris Johnson referred to police watchdog over friendship with businesswoman Jennifer Arcuri
警察監督機関（IOPC)は、ロンドン市長在職中の不祥事が刑法違反に当たるとしてジョンソン首相を取り調べるべきかどうかをこれから検討する。	The Independent Office for Police Conduct will now assess whether the Prime Minister should be investigated for the criminal offence of misconduct in public office while he was mayor of London.
大ロンドン行政庁（GLA)は発表で、アーキュリ氏が首相との友好関係から優遇措置を受けていたとされる疑惑に関して、GLAの監督官が首相の「行為に関する事柄」を記録していたと述べた。	The Greater London Authority (GLA) said in a statement that the authority's monitoring officer had recorded a "conduct matter" against the Prime Minister over allegations Ms Arcuri received favourable treatment because of her friendship with him.
「『行為に関する事柄』は、犯罪が行われていた可能性があることを示す情報がある場合に存在する」とGLAは言う。	"A "conduct matter" exists where there is information that indicates that a criminal offence may have been committed," it said.
これは決して証明されたというわけではない。	It does not mean that this is proved in any way.
IOPCは、この件を調査する必要があるかどうかをこれから検討する。	The IOPC will now consider if it is necessary for the matter to be investigated.
この問題はIOPCに付託されたが、IOPCとはイングランドとウェールズの警察に出された告発に対応する機関である。	The issue has been referred to the IOPC, which deals with complaints against police forces in England and Wales.
この問題が警察監督機関に付託されたのは、ジョンソン氏が当時、警視総監に匹敵する役職についていたからだ。	It was referred to the watchdog because Mr Johnson at the time held the post equivalent to a police and crime commissioner.
ジョンソン氏は、アーキュリ氏との交友関係に関連した不正行為を否定している。	Mr Johnson has denied any wrongdoing in relation to his friendship with Ms Arcuri.
これに先立ち、ジョンソン氏は「見当違いだ」と主張しながらも、アーキュリ氏との関係に関する詳細な情報提供を求めるロンドン議会の命令に従うつもりだと述べた。	Earlier he said that he would comply with an order by the London Assembly to provide details of his links with Ms Arcuri, although he insisted they were "barking up the wrong tree."
この発言はサンデータイムズの報道を受けてなされたが、報道では、７年前にロンドンに移住したアメリカ人のアーキュリ氏に、ジョンソン氏がロンドン市長時代に公金から12万6000ポンドが支払われ、ジョンソン氏らとともに国外の貿易関連の派遣団に３度も参加するという優遇措置を受けていたらしい。	It follows a report by The Sunday Times that Ms Arcuri, an American who moved to London seven years ago, was given £126,000 in public money and was treated to privileged access to three foreign trade missions led by Mr Johnson while he was mayor.
政府はそれ以降、調査中のアーキュリ氏の会社、ハッカーハウスへの100,000ポンドの補助金を凍結した。	The Government has since frozen a £100,000 grant to Ms Arcuri's company, Hacker House, pending a review.
その会社は、補助金が支払われる前に行われた調査過程について当惑するような質問をされるだろう。	It is facing embarrassing questions about the verification process carried out before awarding the money.
デジタル省大臣マット ワーマン氏は下院で、デジタル省は「通常の適正評価」を行っており、その会社はイギリスの電話番号を所有していると述べた。	Digital Minister Matt Warman told the Commons that his department had done the "usual due diligence" and that the company had a British phone number.
しかし、多くの報告書によると、その番号にかけた電話はアーキュリ氏（３４）が今拠点を置いているとされるカリフォルニアのオフィスに転送されていた。	However, numerous reports said calls to the number were directed to an office in California, where Ms Arcuri, 34, is said to now be based.
首相と女性実業家との交友関係は「職員の間では公然の秘密」だった。	PM's friendship with businesswoman 'was open secret among staff'
首相を警察監督機関に付託しようとするGLAの動きは、首相官邸の怒りに触れた。	The move by the GLA to refer the Prime Minister to the Independent Office for Police Conduct has met with anger from No 10.
政府高官筋は、これは「政治的動機に基づく攻撃」であり、保守党大会前夜というタイミングは「あまりに党利党略」だったと語る。	A senior Government source said it was "a politically motivated attack" and that the timing - on the eve of the Conservative Party conference - was "overtly political."
「どの容疑に関しても監督機関は証拠を提出しておらず、金曜日の夜遅くに出された報道発表に先立って、首相は監督機関に答弁する機会も与えられなかった。」と情報筋は言う。	"No evidence of any allegations has been provided by the monitoring officer nor was the PM given any opportunity to respond to the monitoring officer prior to the publishing of a press release late on a Friday night," the source said.
国民もマスコミも、あからさまに仕組まれた政治的な狂言をちゃんと見抜くだろう。	The public and media will rightly see through such a nakedly political put-up job.
先ほど、スタンダード新聞は、ロンドンの観光誘致・地域振興課が支援したジョンソン氏とカリフォルニアの実業家との交友関係は職員の間では「公然の秘密」だったと聞いた。	Earlier today, the Standard was told Mr Johnson's close friendship with the Californian entrepreneur helped by London's tourism and promotions agency was an "open secret" among its staff.
ロンドンアンドパートナーズ（L&P)の元職員は、その当時アーキュリ氏の会社を「信用し難い」と考えていた人がいたにもかかわらず、アーキュリ氏が市長時代のジョンソン氏率いる国外での貿易関連の会談に同行する特権を得たいきさつを述べた。	Former officials at the agency, London & Partners (L&P), recalled how Ms Arcuri was given places on foreign trade trips led by Mr Johnson in his time as mayor despite her companies being regarded as "not credible" by some at the time.
一般生活者が財産形成に使える安心のファンド！	Trustworthy fund for the average joe to build up wealth!
さわかみファンド２０周年の今（モーニングスター ） - Yahoo!ニュース	Sawakami Fund's 20th anniversary now (Morning Star) - Yahoo! News
さわかみ投信代表取締役社長の澤上龍氏（写真）にこれからの展望を聞いた。	We asked the Chief Executive Officer of Sawakami Fund, Mr. Sawakami Ryo (Picture) about his vision for the future.
― ― 「さわかみファンド」は、今年８月に設定から２０周年を迎えました。	"Sawakami Fund" has celebrated its 20th anniversary since it's founding this August.
この２０年間を振り返り、現在感じていることは？	Looking back the past 20 years, how do you feel at this moment?
まずもって、２０年という歴史の中には多くの方の思いやご尽力があったということです。	First of all, the 20 years of history was built on many people's emotions and hard work.
「さわかみファンド」だけの力で果たした歴史ではなく、関係するすべての方に深く感謝申し上げたいと思います。	I would like to show my deepest gratitude for all those who have taken part, since this history was not achieved only with “Sawakami Fund”.
もともと 、 「 一般生活者の財産形成をサポートする」という思いで立ちあがったのが「さわかみファンド」です。	Sawakami Fund was initially founded with the desire to “support wealth accumulation of average citizens”
この精神は変わらず、２０年間愚直に追求してきました。	This motto has not changed, and we have pursued this goal honestly for 20 years.
一般の方々がお金の不安から解消されたら、世の中が土台から明るくなるだろうという思いで、全社一丸となって日々の業務に励んでおります。	Our company as a whole strives to do our best daily, with the belief that if people are free from financial stress, the world will inherently get brighter.
長期では、運用は受益者と歩みを一緒にしないと成績も出ません。	In the long run, great results will not be achieved unless management is in lockstep with beneficiaries.
リーマンショックやＩＴバブル崩壊のような相場急落時に「さわかみファンド」には多くのお金が入ってきます。	A great amount of money comes into "Sawakami Fund" during times of market free-fall, such as Lehman Shock and IT bubble burst.
「こういう時だから、世の中で必要とされている企業を応援しよう」という、私たちが常日頃から申し上げているメッセージをご理解いただいているのだと感じています。	I feel that our message, that we always say, which is "in times like these, we want to support companies that are truly needed", is understood well.
その結果が２０年の長寿ファンドとなった理由であり、またメッセージを直接多くの方に届けられる直販体制であり続けたからこそだと考えております。	The result is the reason our fund became a long lasting fund with 20 years behind it, and because we have a direct sales approach that allows us to relay our message to our customers, this was possible.
毎月末のレポートで全ての投資企業、金額やコストなどを開示してきました。	We have been disclosing the list of all the investing companies, amounts, and cost in our monthly report.
一般的には結果を伝えるだけで、今何を買っているのかという情報はブラックボックスになっていますが 、 「 さわかみファンド」は全て開示しました。	Usually, information of what is being bought is a black box and only results are relayed, but "Sawakami Fund" discloses everything.
この取り組みも、皆さまから信頼いただける理由なのでしょう。	This transparency must be another reason people trust us.
マック・ミラー死亡事件、三人目の薬物犯罪逮捕者が鍵	Third man charged with drug counts in Mac Miller's death
ロサンゼルス (AP通信) - 昨年ラッパーのマック・ミラー氏が薬物の過剰摂取で死亡した事件と関連した薬物犯罪で、三人目の男が逮捕起訴された。	LOS ANGELES (AP) - A third man has been arrested and charged with drug offenses in connection with rapper Mac Miller's overdose death last year.
裁判記録によるとスティーブン・ウォルターには、昨年9月ミラー氏が誤ってコカイン、アルコール、フェンタニルを過剰摂取し死亡する前に所持していた、フェンタニルが混入されたオキシコドンの偽造錠剤を売った容疑がかかっているが、フェンタニルはアメリカ国内で数千人もの死者が出るほど蔓延して問題となっている強力なオピオイド系薬物である。	Court documents show Stephen Walter is suspected of selling counterfeit oxycodone pills laced with fentanyl that Miller possessed before he died last September of an accidental overdose of cocaine, alcohol and fentanyl, a powerful opioid contributing to an epidemic that's claimed thousands of lives in the U.S.
ウォルターは、ミラー氏に薬物を売ったもう一人の人物キャメロン・ペティットに薬物を供給したとして罪に問われている。	Walter is accused of being the source of the pills that another man, Cameron Pettit, sold to Miller.
火曜日に公開された裁判記録によると、ペティットは8月を通してウォルターから薬物を入手していたとのことだ。	Court documents unsealed Tuesday say Pettit kept getting drugs from Walter through August.
アリゾナ州レイクハバスシティで今週初めに逮捕されたライアン・リービスはウォルターの「配達人」役としてペティットに薬物を届けていた罪に問われている。	Ryan Reavis, who was arrested earlier this week in Lake Havasu City, Arizona, is accused of serving as Walter's "runner" who delivered the pills to Pettit.
3人はいずれもミラー氏死亡事件に関しては直接の罪には問われておらず、また個々の事件についての抗弁もまだである。	None of the men have been directly charged with Miller's death or have entered pleas in their cases.
